// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Eduardo Larios\Documents\Code\C#\LambdaBenchmarks\ListBenchmarks\bin\Release\netcoreapp3.0\875fbc77-47a1-4091-9137-37903f303515
// command took 1.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Eduardo Larios\Documents\Code\C#\LambdaBenchmarks\ListBenchmarks\bin\Release\netcoreapp3.0\875fbc77-47a1-4091-9137-37903f303515
// command took 2.5s and exited with 0
// ***** Done, took 00:00:04 (4.15 sec)   *****
// Found 3 benchmarks:
//   PopulateInt32.LambdaPopulate: DefaultJob [N=100]
//   PopulateInt32.LoopPopulate: DefaultJob [N=100]
//   PopulateInt32.IteratorPopulate: DefaultJob [N=100]

// **************************
// Benchmark: PopulateInt32.LambdaPopulate: DefaultJob [N=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "875fbc77-47a1-4091-9137-37903f303515.dll" --benchmarkName "ListBenchmarks.PopulateInt32.LambdaPopulate(N: 100)" --job "Default" --benchmarkId 0 in C:\Users\Eduardo Larios\Documents\Code\C#\LambdaBenchmarks\ListBenchmarks\bin\Release\netcoreapp3.0\875fbc77-47a1-4091-9137-37903f303515\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 539300.00 ns, 539.3000 us/op
WorkloadJitting  1: 1 op, 2900900.00 ns, 2.9009 ms/op

OverheadJitting  2: 16 op, 1111700.00 ns, 69.4813 us/op
WorkloadJitting  2: 16 op, 1864100.00 ns, 116.5062 us/op

WorkloadPilot    1: 16 op, 66100.00 ns, 4.1312 us/op
WorkloadPilot    2: 32 op, 120300.00 ns, 3.7594 us/op
WorkloadPilot    3: 64 op, 423900.00 ns, 6.6234 us/op
WorkloadPilot    4: 128 op, 1555100.00 ns, 12.1492 us/op
WorkloadPilot    5: 256 op, 1258700.00 ns, 4.9168 us/op
WorkloadPilot    6: 512 op, 2945600.00 ns, 5.7531 us/op
WorkloadPilot    7: 1024 op, 5795400.00 ns, 5.6596 us/op
WorkloadPilot    8: 2048 op, 9609800.00 ns, 4.6923 us/op
WorkloadPilot    9: 4096 op, 25575400.00 ns, 6.2440 us/op
WorkloadPilot   10: 8192 op, 40737800.00 ns, 4.9729 us/op
WorkloadPilot   11: 16384 op, 79625300.00 ns, 4.8599 us/op
WorkloadPilot   12: 32768 op, 117724300.00 ns, 3.5927 us/op
WorkloadPilot   13: 65536 op, 237530400.00 ns, 3.6244 us/op
WorkloadPilot   14: 131072 op, 469765500.00 ns, 3.5840 us/op
WorkloadPilot   15: 262144 op, 924300900.00 ns, 3.5259 us/op

OverheadWarmup   1: 262144 op, 1161900.00 ns, 4.4323 ns/op
OverheadWarmup   2: 262144 op, 1121600.00 ns, 4.2786 ns/op
OverheadWarmup   3: 262144 op, 1100700.00 ns, 4.1988 ns/op
OverheadWarmup   4: 262144 op, 1147700.00 ns, 4.3781 ns/op
OverheadWarmup   5: 262144 op, 1128600.00 ns, 4.3053 ns/op
OverheadWarmup   6: 262144 op, 1188700.00 ns, 4.5345 ns/op
OverheadWarmup   7: 262144 op, 1131100.00 ns, 4.3148 ns/op

OverheadActual   1: 262144 op, 1137900.00 ns, 4.3407 ns/op
OverheadActual   2: 262144 op, 1207500.00 ns, 4.6062 ns/op
OverheadActual   3: 262144 op, 1201300.00 ns, 4.5826 ns/op
OverheadActual   4: 262144 op, 1323400.00 ns, 5.0484 ns/op
OverheadActual   5: 262144 op, 1147300.00 ns, 4.3766 ns/op
OverheadActual   6: 262144 op, 1109900.00 ns, 4.2339 ns/op
OverheadActual   7: 262144 op, 1134800.00 ns, 4.3289 ns/op
