// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\7b2b6725-2909-4a3d-93c4-37a9d51d6c5d
// command took 2.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\7b2b6725-2909-4a3d-93c4-37a9d51d6c5d
// command took 5.35s and exited with 0
// ***** Done, took 00:00:08 (8.14 sec)   *****
// Found 2 benchmarks:
//   Md5VsSha256.Sha256: DefaultJob
//   Md5VsSha256.Md5: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Md5VsSha256.Sha256: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7b2b6725-2909-4a3d-93c4-37a9d51d6c5d.dll" --benchmarkName "LinqBenchmarks.Md5VsSha256.Sha256" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\7b2b6725-2909-4a3d-93c4-37a9d51d6c5d\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 388000.00 ns, 388.0000 us/op
WorkloadJitting  1: 1 op, 1211100.00 ns, 1.2111 ms/op

OverheadJitting  2: 16 op, 948900.00 ns, 59.3062 us/op
WorkloadJitting  2: 16 op, 1024000.00 ns, 64.0000 us/op

WorkloadPilot    1: 16 op, 107700.00 ns, 6.7313 us/op
WorkloadPilot    2: 32 op, 201500.00 ns, 6.2969 us/op
WorkloadPilot    3: 64 op, 400400.00 ns, 6.2562 us/op
WorkloadPilot    4: 128 op, 798700.00 ns, 6.2398 us/op
WorkloadPilot    5: 256 op, 1605000.00 ns, 6.2695 us/op
WorkloadPilot    6: 512 op, 3193300.00 ns, 6.2369 us/op
WorkloadPilot    7: 1024 op, 6428800.00 ns, 6.2781 us/op
WorkloadPilot    8: 2048 op, 12772600.00 ns, 6.2366 us/op
WorkloadPilot    9: 4096 op, 25613800.00 ns, 6.2534 us/op
WorkloadPilot   10: 8192 op, 51913400.00 ns, 6.3371 us/op
WorkloadPilot   11: 16384 op, 103956100.00 ns, 6.3450 us/op
WorkloadPilot   12: 32768 op, 203173200.00 ns, 6.2004 us/op
WorkloadPilot   13: 65536 op, 405897000.00 ns, 6.1935 us/op
WorkloadPilot   14: 131072 op, 825552000.00 ns, 6.2985 us/op

OverheadWarmup   1: 131072 op, 525100.00 ns, 4.0062 ns/op
OverheadWarmup   2: 131072 op, 524800.00 ns, 4.0039 ns/op
OverheadWarmup   3: 131072 op, 523900.00 ns, 3.9970 ns/op
OverheadWarmup   4: 131072 op, 523100.00 ns, 3.9909 ns/op
OverheadWarmup   5: 131072 op, 524500.00 ns, 4.0016 ns/op
OverheadWarmup   6: 131072 op, 524100.00 ns, 3.9986 ns/op
OverheadWarmup   7: 131072 op, 539100.00 ns, 4.1130 ns/op
OverheadWarmup   8: 131072 op, 522400.00 ns, 3.9856 ns/op

OverheadActual   1: 131072 op, 526200.00 ns, 4.0146 ns/op
OverheadActual   2: 131072 op, 522100.00 ns, 3.9833 ns/op
OverheadActual   3: 131072 op, 522100.00 ns, 3.9833 ns/op
OverheadActual   4: 131072 op, 520800.00 ns, 3.9734 ns/op
OverheadActual   5: 131072 op, 525400.00 ns, 4.0085 ns/op
OverheadActual   6: 131072 op, 522500.00 ns, 3.9864 ns/op
OverheadActual   7: 131072 op, 745300.00 ns, 5.6862 ns/op
OverheadActual   8: 131072 op, 523200.00 ns, 3.9917 ns/op
OverheadActual   9: 131072 op, 520800.00 ns, 3.9734 ns/op
OverheadActual  10: 131072 op, 523300.00 ns, 3.9925 ns/op
OverheadActual  11: 131072 op, 534400.00 ns, 4.0771 ns/op
OverheadActual  12: 131072 op, 535900.00 ns, 4.0886 ns/op
OverheadActual  13: 131072 op, 535800.00 ns, 4.0878 ns/op
OverheadActual  14: 131072 op, 535700.00 ns, 4.0871 ns/op
OverheadActual  15: 131072 op, 535700.00 ns, 4.0871 ns/op

WorkloadWarmup   1: 131072 op, 822600800.00 ns, 6.2759 us/op
WorkloadWarmup   2: 131072 op, 817316100.00 ns, 6.2356 us/op
WorkloadWarmup   3: 131072 op, 818443400.00 ns, 6.2442 us/op
WorkloadWarmup   4: 131072 op, 811661600.00 ns, 6.1925 us/op
WorkloadWarmup   5: 131072 op, 809645100.00 ns, 6.1771 us/op
WorkloadWarmup   6: 131072 op, 824866600.00 ns, 6.2932 us/op
WorkloadWarmup   7: 131072 op, 808957600.00 ns, 6.1719 us/op

// BeforeActualRun
WorkloadActual   1: 131072 op, 808909200.00 ns, 6.1715 us/op
WorkloadActual   2: 131072 op, 818264900.00 ns, 6.2429 us/op
WorkloadActual   3: 131072 op, 811587700.00 ns, 6.1919 us/op
WorkloadActual   4: 131072 op, 808910900.00 ns, 6.1715 us/op
WorkloadActual   5: 131072 op, 809313300.00 ns, 6.1746 us/op
WorkloadActual   6: 131072 op, 812517100.00 ns, 6.1990 us/op
WorkloadActual   7: 131072 op, 808984600.00 ns, 6.1721 us/op
WorkloadActual   8: 131072 op, 812071100.00 ns, 6.1956 us/op
WorkloadActual   9: 131072 op, 816792300.00 ns, 6.2316 us/op
WorkloadActual  10: 131072 op, 811013100.00 ns, 6.1875 us/op
WorkloadActual  11: 131072 op, 813387100.00 ns, 6.2057 us/op
WorkloadActual  12: 131072 op, 828961400.00 ns, 6.3245 us/op
WorkloadActual  13: 131072 op, 813869600.00 ns, 6.2093 us/op
WorkloadActual  14: 131072 op, 811971200.00 ns, 6.1948 us/op
WorkloadActual  15: 131072 op, 809081700.00 ns, 6.1728 us/op

// AfterActualRun
WorkloadResult   1: 131072 op, 808383800.00 ns, 6.1675 us/op
WorkloadResult   2: 131072 op, 817739500.00 ns, 6.2389 us/op
WorkloadResult   3: 131072 op, 811062300.00 ns, 6.1879 us/op
WorkloadResult   4: 131072 op, 808385500.00 ns, 6.1675 us/op
WorkloadResult   5: 131072 op, 808787900.00 ns, 6.1706 us/op
WorkloadResult   6: 131072 op, 811991700.00 ns, 6.1950 us/op
