// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\3617b683-3f8e-43ed-8e0b-91faa116768f
// command took 1.43s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\3617b683-3f8e-43ed-8e0b-91faa116768f
// command took 2.52s and exited with 0
// ***** Done, took 00:00:04 (4.19 sec)   *****
// Found 2 benchmarks:
//   ReduceBenchmark.SingleThreadAggregate: DefaultJob
//   ReduceBenchmark.MultithreadAggregate: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ReduceBenchmark.SingleThreadAggregate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3617b683-3f8e-43ed-8e0b-91faa116768f.dll" --benchmarkName "LinqBenchmarks.ReduceBenchmark.SingleThreadAggregate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\3617b683-3f8e-43ed-8e0b-91faa116768f\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 363900.00 ns, 363.9000 us/op
WorkloadJitting  1: 1 op, 7032300.00 ns, 7.0323 ms/op

OverheadJitting  2: 16 op, 520500.00 ns, 32.5312 us/op
WorkloadJitting  2: 16 op, 99971600.00 ns, 6.2482 ms/op

WorkloadPilot    1: 16 op, 99227600.00 ns, 6.2017 ms/op
WorkloadPilot    2: 32 op, 207592400.00 ns, 6.4873 ms/op
WorkloadPilot    3: 64 op, 382088900.00 ns, 5.9701 ms/op
WorkloadPilot    4: 128 op, 834094200.00 ns, 6.5164 ms/op

OverheadWarmup   1: 128 op, 3300.00 ns, 25.7812 ns/op
OverheadWarmup   2: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   3: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   4: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   5: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   6: 128 op, 600.00 ns, 4.6875 ns/op

OverheadActual   1: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   2: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   3: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   4: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   5: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   6: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   7: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   8: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual   9: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  10: 128 op, 500.00 ns, 3.9062 ns/op
OverheadActual  11: 128 op, 600.00 ns, 4.6875 ns/op
