// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\661688f2-5a49-47b4-8ef4-cb20c31dff41
// command took 1.41s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\661688f2-5a49-47b4-8ef4-cb20c31dff41
// command took 2.53s and exited with 0
// ***** Done, took 00:00:04 (4.18 sec)   *****
// Found 4 benchmarks:
//   ReduceBenchmark.SingleThreadAggregate: DefaultJob
//   ReduceBenchmark.MultithreadAggregate: DefaultJob
//   ReduceBenchmark.ForLoopAggregate: DefaultJob
//   ReduceBenchmark.ParallelForLoop: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ReduceBenchmark.SingleThreadAggregate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "661688f2-5a49-47b4-8ef4-cb20c31dff41.dll" --benchmarkName "LinqBenchmarks.ReduceBenchmark.SingleThreadAggregate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\661688f2-5a49-47b4-8ef4-cb20c31dff41\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 339300.00 ns, 339.3000 us/op
WorkloadJitting  1: 1 op, 922400.00 ns, 922.4000 us/op

OverheadJitting  2: 16 op, 636100.00 ns, 39.7563 us/op
WorkloadJitting  2: 16 op, 1583700.00 ns, 98.9813 us/op

WorkloadPilot    1: 16 op, 1040500.00 ns, 65.0312 us/op
WorkloadPilot    2: 32 op, 2080300.00 ns, 65.0094 us/op
WorkloadPilot    3: 64 op, 4891300.00 ns, 76.4266 us/op
WorkloadPilot    4: 128 op, 9080500.00 ns, 70.9414 us/op
WorkloadPilot    5: 256 op, 16740300.00 ns, 65.3918 us/op
WorkloadPilot    6: 512 op, 33622000.00 ns, 65.6680 us/op
WorkloadPilot    7: 1024 op, 64725000.00 ns, 63.2080 us/op
WorkloadPilot    8: 2048 op, 120830900.00 ns, 58.9995 us/op
WorkloadPilot    9: 4096 op, 241801400.00 ns, 59.0335 us/op
WorkloadPilot   10: 8192 op, 483446800.00 ns, 59.0145 us/op
WorkloadPilot   11: 16384 op, 967090700.00 ns, 59.0265 us/op

OverheadWarmup   1: 16384 op, 33600.00 ns, 2.0508 ns/op
OverheadWarmup   2: 16384 op, 31000.00 ns, 1.8921 ns/op
OverheadWarmup   3: 16384 op, 31000.00 ns, 1.8921 ns/op
OverheadWarmup   4: 16384 op, 31000.00 ns, 1.8921 ns/op
OverheadWarmup   5: 16384 op, 31100.00 ns, 1.8982 ns/op
OverheadWarmup   6: 16384 op, 31000.00 ns, 1.8921 ns/op

OverheadActual   1: 16384 op, 31100.00 ns, 1.8982 ns/op
OverheadActual   2: 16384 op, 31000.00 ns, 1.8921 ns/op
OverheadActual   3: 16384 op, 31100.00 ns, 1.8982 ns/op
OverheadActual   4: 16384 op, 31000.00 ns, 1.8921 ns/op
OverheadActual   5: 16384 op, 31100.00 ns, 1.8982 ns/op
