// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\b8af9fef-7d80-4bea-8054-a71986ee5e29
// command took 1.46s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\b8af9fef-7d80-4bea-8054-a71986ee5e29
// command took 2.55s and exited with 0
// ***** Done, took 00:00:04 (4.27 sec)   *****
// Found 5 benchmarks:
//   ReduceBenchmark.LinqAggregate: DefaultJob
//   ReduceBenchmark.PLinqAggregate: DefaultJob
//   ReduceBenchmark.ForLoopAggregate: DefaultJob
//   ReduceBenchmark.ForEachLoopAggregate: DefaultJob
//   ReduceBenchmark.ParallelForLoop: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ReduceBenchmark.LinqAggregate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b8af9fef-7d80-4bea-8054-a71986ee5e29.dll" --benchmarkName "LinqBenchmarks.ReduceBenchmark.LinqAggregate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\b8af9fef-7d80-4bea-8054-a71986ee5e29\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 346000.00 ns, 346.0000 us/op
WorkloadJitting  1: 1 op, 10843900.00 ns, 10.8439 ms/op

OverheadJitting  2: 16 op, 537000.00 ns, 33.5625 us/op
WorkloadJitting  2: 16 op, 158656100.00 ns, 9.9160 ms/op

WorkloadPilot    1: 16 op, 155490900.00 ns, 9.7182 ms/op
WorkloadPilot    2: 32 op, 275610100.00 ns, 8.6128 ms/op
WorkloadPilot    3: 64 op, 557004900.00 ns, 8.7032 ms/op

OverheadWarmup   1: 64 op, 3200.00 ns, 50.0000 ns/op
OverheadWarmup   2: 64 op, 600.00 ns, 9.3750 ns/op
OverheadWarmup   3: 64 op, 400.00 ns, 6.2500 ns/op
OverheadWarmup   4: 64 op, 400.00 ns, 6.2500 ns/op
OverheadWarmup   5: 64 op, 400.00 ns, 6.2500 ns/op
OverheadWarmup   6: 64 op, 400.00 ns, 6.2500 ns/op
OverheadWarmup   7: 64 op, 400.00 ns, 6.2500 ns/op

OverheadActual   1: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual   2: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual   3: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual   4: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual   5: 64 op, 700.00 ns, 10.9375 ns/op
OverheadActual   6: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   7: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   8: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   9: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  10: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  11: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual  12: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  13: 64 op, 400.00 ns, 6.2500 ns/op
