// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\de8b8927-d601-4e90-94fe-9794eb0c1d0b
// command took 1.45s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\de8b8927-d601-4e90-94fe-9794eb0c1d0b
// command took 2.52s and exited with 0
// ***** Done, took 00:00:04 (4.24 sec)   *****
// Found 5 benchmarks:
//   ReduceBenchmark.LinqAggregate: DefaultJob
//   ReduceBenchmark.PLinqAggregate: DefaultJob
//   ReduceBenchmark.ForLoopAggregate: DefaultJob
//   ReduceBenchmark.ForEachLoopAggregate: DefaultJob
//   ReduceBenchmark.ParallelForLoop: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ReduceBenchmark.LinqAggregate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "de8b8927-d601-4e90-94fe-9794eb0c1d0b.dll" --benchmarkName "LinqBenchmarks.ReduceBenchmark.LinqAggregate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\de8b8927-d601-4e90-94fe-9794eb0c1d0b\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 329900.00 ns, 329.9000 us/op
WorkloadJitting  1: 1 op, 10607700.00 ns, 10.6077 ms/op

OverheadJitting  2: 16 op, 762500.00 ns, 47.6562 us/op
WorkloadJitting  2: 16 op, 166211900.00 ns, 10.3882 ms/op

WorkloadPilot    1: 16 op, 155157600.00 ns, 9.6974 ms/op
WorkloadPilot    2: 32 op, 295006700.00 ns, 9.2190 ms/op
WorkloadPilot    3: 64 op, 574606900.00 ns, 8.9782 ms/op

OverheadWarmup   1: 64 op, 3800.00 ns, 59.3750 ns/op
OverheadWarmup   2: 64 op, 400.00 ns, 6.2500 ns/op
OverheadWarmup   3: 64 op, 400.00 ns, 6.2500 ns/op
OverheadWarmup   4: 64 op, 400.00 ns, 6.2500 ns/op
OverheadWarmup   5: 64 op, 500.00 ns, 7.8125 ns/op
OverheadWarmup   6: 64 op, 300.00 ns, 4.6875 ns/op

OverheadActual   1: 64 op, 600.00 ns, 9.3750 ns/op
OverheadActual   2: 64 op, 700.00 ns, 10.9375 ns/op
OverheadActual   3: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual   4: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   5: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual   6: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   7: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   8: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   9: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  10: 64 op, 300.00 ns, 4.6875 ns/op
OverheadActual  11: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual  12: 64 op, 300.00 ns, 4.6875 ns/op
OverheadActual  13: 64 op, 600.00 ns, 9.3750 ns/op
OverheadActual  14: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  15: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  16: 64 op, 300.00 ns, 4.6875 ns/op
OverheadActual  17: 64 op, 300.00 ns, 4.6875 ns/op
OverheadActual  18: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual  19: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  20: 64 op, 500.00 ns, 7.8125 ns/op

WorkloadWarmup   1: 64 op, 588865500.00 ns, 9.2010 ms/op
WorkloadWarmup   2: 64 op, 606546700.00 ns, 9.4773 ms/op
WorkloadWarmup   3: 64 op, 551574800.00 ns, 8.6184 ms/op
WorkloadWarmup   4: 64 op, 585669800.00 ns, 9.1511 ms/op
WorkloadWarmup   5: 64 op, 561331300.00 ns, 8.7708 ms/op
WorkloadWarmup   6: 64 op, 547519400.00 ns, 8.5550 ms/op

// BeforeActualRun
WorkloadActual   1: 64 op, 572387900.00 ns, 8.9436 ms/op
WorkloadActual   2: 64 op, 577174800.00 ns, 9.0184 ms/op
WorkloadActual   3: 64 op, 577289500.00 ns, 9.0201 ms/op
WorkloadActual   4: 64 op, 564249200.00 ns, 8.8164 ms/op
WorkloadActual   5: 64 op, 584641600.00 ns, 9.1350 ms/op
WorkloadActual   6: 64 op, 552284600.00 ns, 8.6294 ms/op
WorkloadActual   7: 64 op, 550592200.00 ns, 8.6030 ms/op
WorkloadActual   8: 64 op, 575143800.00 ns, 8.9866 ms/op
WorkloadActual   9: 64 op, 585336100.00 ns, 9.1459 ms/op
WorkloadActual  10: 64 op, 571478400.00 ns, 8.9293 ms/op
WorkloadActual  11: 64 op, 566127300.00 ns, 8.8457 ms/op
WorkloadActual  12: 64 op, 586347000.00 ns, 9.1617 ms/op
WorkloadActual  13: 64 op, 574040600.00 ns, 8.9694 ms/op
WorkloadActual  14: 64 op, 563401500.00 ns, 8.8031 ms/op
WorkloadActual  15: 64 op, 577292900.00 ns, 9.0202 ms/op
WorkloadActual  16: 64 op, 573394800.00 ns, 8.9593 ms/op

// AfterActualRun
WorkloadResult   1: 64 op, 572387500.00 ns, 8.9436 ms/op
WorkloadResult   2: 64 op, 577174400.00 ns, 9.0183 ms/op
WorkloadResult   3: 64 op, 577289100.00 ns, 9.0201 ms/op
WorkloadResult   4: 64 op, 564248800.00 ns, 8.8164 ms/op
WorkloadResult   5: 64 op, 584641200.00 ns, 9.1350 ms/op
WorkloadResult   6: 64 op, 552284200.00 ns, 8.6294 ms/op
WorkloadResult   7: 64 op, 550591800.00 ns, 8.6030 ms/op
WorkloadResult   8: 64 op, 575143400.00 ns, 8.9866 ms/op
WorkloadResult   9: 64 op, 585335700.00 ns, 9.1459 ms/op
WorkloadResult  10: 64 op, 571478000.00 ns, 8.9293 ms/op
WorkloadResult  11: 64 op, 566126900.00 ns, 8.8457 ms/op
WorkloadResult  12: 64 op, 586346600.00 ns, 9.1617 ms/op
WorkloadResult  13: 64 op, 574040200.00 ns, 8.9694 ms/op
WorkloadResult  14: 64 op, 563401100.00 ns, 8.8031 ms/op
WorkloadResult  15: 64 op, 577292500.00 ns, 9.0202 ms/op
WorkloadResult  16: 64 op, 573394400.00 ns, 8.9593 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 8.9367 ms, StdErr = 0.0411 ms (0.46%); N = 16, StdDev = 0.1643 ms
Min = 8.6030 ms, Q1 = 8.8311 ms, Median = 8.9643 ms, Q3 = 9.0202 ms, Max = 9.1617 ms
IQR = 0.1891 ms, LowerFence = 8.5474 ms, UpperFence = 9.3038 ms
ConfidenceInterval = [8.7694 ms; 9.1040 ms] (CI 99.9%), Margin = 0.1673 ms (1.87% of Mean)
Skewness = -0.58, Kurtosis = 2.41, MValue = 2

// **************************
// Benchmark: ReduceBenchmark.PLinqAggregate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "de8b8927-d601-4e90-94fe-9794eb0c1d0b.dll" --benchmarkName "LinqBenchmarks.ReduceBenchmark.PLinqAggregate" --job "Default" --benchmarkId 1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LinqBenchmarks\bin\Release\netcoreapp3.0\de8b8927-d601-4e90-94fe-9794eb0c1d0b\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 348100.00 ns, 348.1000 us/op
WorkloadJitting  1: 1 op, 20758100.00 ns, 20.7581 ms/op

OverheadJitting  2: 16 op, 523800.00 ns, 32.7375 us/op
WorkloadJitting  2: 16 op, 21949100.00 ns, 1.3718 ms/op

WorkloadPilot    1: 16 op, 21338800.00 ns, 1.3337 ms/op
WorkloadPilot    2: 32 op, 54170800.00 ns, 1.6928 ms/op
WorkloadPilot    3: 64 op, 119123600.00 ns, 1.8613 ms/op
WorkloadPilot    4: 128 op, 220875400.00 ns, 1.7256 ms/op
WorkloadPilot    5: 256 op, 428558000.00 ns, 1.6741 ms/op
WorkloadPilot    6: 512 op, 885301700.00 ns, 1.7291 ms/op

OverheadWarmup   1: 512 op, 4000.00 ns, 7.8125 ns/op
OverheadWarmup   2: 512 op, 1300.00 ns, 2.5391 ns/op
OverheadWarmup   3: 512 op, 1200.00 ns, 2.3438 ns/op
OverheadWarmup   4: 512 op, 1200.00 ns, 2.3438 ns/op
OverheadWarmup   5: 512 op, 1300.00 ns, 2.5391 ns/op
OverheadWarmup   6: 512 op, 1200.00 ns, 2.3438 ns/op
OverheadWarmup   7: 512 op, 1200.00 ns, 2.3438 ns/op

OverheadActual   1: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual   2: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual   3: 512 op, 1500.00 ns, 2.9297 ns/op
OverheadActual   4: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual   5: 512 op, 1300.00 ns, 2.5391 ns/op
OverheadActual   6: 512 op, 1200.00 ns, 2.3438 ns/op
OverheadActual   7: 512 op, 1200.00 ns, 2.3438 ns/op
OverheadActual   8: 512 op, 1200.00 ns, 2.3438 ns/op
OverheadActual   9: 512 op, 1300.00 ns, 2.5391 ns/op
OverheadActual  10: 512 op, 1300.00 ns, 2.5391 ns/op
OverheadActual  11: 512 op, 1300.00 ns, 2.5391 ns/op
OverheadActual  12: 512 op, 1200.00 ns, 2.3438 ns/op
OverheadActual  13: 512 op, 1800.00 ns, 3.5156 ns/op
OverheadActual  14: 512 op, 1200.00 ns, 2.3438 ns/op
OverheadActual  15: 512 op, 1100.00 ns, 2.1484 ns/op
OverheadActual  16: 512 op, 1300.00 ns, 2.5391 ns/op
OverheadActual  17: 512 op, 1200.00 ns, 2.3438 ns/op
OverheadActual  18: 512 op, 1400.00 ns, 2.7344 ns/op
OverheadActual  19: 512 op, 1100.00 ns, 2.1484 ns/op
OverheadActual  20: 512 op, 1400.00 ns, 2.7344 ns/op

WorkloadWarmup   1: 512 op, 706642200.00 ns, 1.3802 ms/op
WorkloadWarmup   2: 512 op, 759520500.00 ns, 1.4834 ms/op
WorkloadWarmup   3: 512 op, 748978900.00 ns, 1.4628 ms/op
WorkloadWarmup   4: 512 op, 697702300.00 ns, 1.3627 ms/op
WorkloadWarmup   5: 512 op, 697752900.00 ns, 1.3628 ms/op
WorkloadWarmup   6: 512 op, 719061600.00 ns, 1.4044 ms/op
WorkloadWarmup   7: 512 op, 692602400.00 ns, 1.3527 ms/op

// BeforeActualRun
