// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\24ef4102-ec30-4db6-b4ee-2192137bbc89
// command took 1.52s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\24ef4102-ec30-4db6-b4ee-2192137bbc89
// command took 2.68s and exited with 0
// ***** Done, took 00:00:04 (4.42 sec)   *****
// Found 4 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob
//   ContainsListInteger.ForLoopContains: DefaultJob
//   ContainsListInteger.ForEachContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "24ef4102-ec30-4db6-b4ee-2192137bbc89.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\24ef4102-ec30-4db6-b4ee-2192137bbc89\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 317900.00 ns, 317.9000 us/op
WorkloadJitting  1: 1 op, 305400.00 ns, 305.4000 us/op

OverheadJitting  2: 16 op, 242500.00 ns, 15.1562 us/op
WorkloadJitting  2: 16 op, 248000.00 ns, 15.5000 us/op

WorkloadPilot    1: 16 op, 11600.00 ns, 725.0000 ns/op
WorkloadPilot    2: 32 op, 20800.00 ns, 650.0000 ns/op
WorkloadPilot    3: 64 op, 65700.00 ns, 1.0266 us/op
WorkloadPilot    4: 128 op, 80800.00 ns, 631.2500 ns/op
WorkloadPilot    5: 256 op, 158800.00 ns, 620.3125 ns/op
WorkloadPilot    6: 512 op, 326400.00 ns, 637.5000 ns/op
WorkloadPilot    7: 1024 op, 631900.00 ns, 617.0898 ns/op
WorkloadPilot    8: 2048 op, 1278500.00 ns, 624.2676 ns/op
WorkloadPilot    9: 4096 op, 2558400.00 ns, 624.6094 ns/op
WorkloadPilot   10: 8192 op, 5136700.00 ns, 627.0386 ns/op
WorkloadPilot   11: 16384 op, 10276000.00 ns, 627.1973 ns/op
WorkloadPilot   12: 32768 op, 20645800.00 ns, 630.0598 ns/op
WorkloadPilot   13: 65536 op, 41374900.00 ns, 631.3309 ns/op
WorkloadPilot   14: 131072 op, 81542400.00 ns, 622.1191 ns/op
WorkloadPilot   15: 262144 op, 162203600.00 ns, 618.7576 ns/op
WorkloadPilot   16: 524288 op, 316869600.00 ns, 604.3808 ns/op
WorkloadPilot   17: 1048576 op, 634451100.00 ns, 605.0597 ns/op

OverheadWarmup   1: 1048576 op, 2173200.00 ns, 2.0725 ns/op
OverheadWarmup   2: 1048576 op, 2170400.00 ns, 2.0699 ns/op
OverheadWarmup   3: 1048576 op, 2213900.00 ns, 2.1113 ns/op
OverheadWarmup   4: 1048576 op, 2175700.00 ns, 2.0749 ns/op
OverheadWarmup   5: 1048576 op, 2169800.00 ns, 2.0693 ns/op
OverheadWarmup   6: 1048576 op, 2170400.00 ns, 2.0699 ns/op
OverheadWarmup   7: 1048576 op, 2216600.00 ns, 2.1139 ns/op
OverheadWarmup   8: 1048576 op, 2192400.00 ns, 2.0908 ns/op

OverheadActual   1: 1048576 op, 2173200.00 ns, 2.0725 ns/op
OverheadActual   2: 1048576 op, 2169400.00 ns, 2.0689 ns/op
OverheadActual   3: 1048576 op, 2229600.00 ns, 2.1263 ns/op
OverheadActual   4: 1048576 op, 2168500.00 ns, 2.0680 ns/op
OverheadActual   5: 1048576 op, 2169300.00 ns, 2.0688 ns/op
OverheadActual   6: 1048576 op, 2176900.00 ns, 2.0761 ns/op
OverheadActual   7: 1048576 op, 2171300.00 ns, 2.0707 ns/op
OverheadActual   8: 1048576 op, 2192500.00 ns, 2.0909 ns/op
OverheadActual   9: 1048576 op, 2171900.00 ns, 2.0713 ns/op
OverheadActual  10: 1048576 op, 2192700.00 ns, 2.0911 ns/op
OverheadActual  11: 1048576 op, 2201700.00 ns, 2.0997 ns/op
OverheadActual  12: 1048576 op, 2169400.00 ns, 2.0689 ns/op
OverheadActual  13: 1048576 op, 2178100.00 ns, 2.0772 ns/op
OverheadActual  14: 1048576 op, 2175200.00 ns, 2.0744 ns/op
OverheadActual  15: 1048576 op, 2172100.00 ns, 2.0715 ns/op

WorkloadWarmup   1: 1048576 op, 633945900.00 ns, 604.5779 ns/op
WorkloadWarmup   2: 1048576 op, 633812400.00 ns, 604.4506 ns/op
WorkloadWarmup   3: 1048576 op, 633067300.00 ns, 603.7400 ns/op
WorkloadWarmup   4: 1048576 op, 633693900.00 ns, 604.3376 ns/op
WorkloadWarmup   5: 1048576 op, 633963900.00 ns, 604.5951 ns/op
WorkloadWarmup   6: 1048576 op, 634447100.00 ns, 605.0559 ns/op
WorkloadWarmup   7: 1048576 op, 632093900.00 ns, 602.8117 ns/op
WorkloadWarmup   8: 1048576 op, 635444700.00 ns, 606.0073 ns/op
WorkloadWarmup   9: 1048576 op, 637385700.00 ns, 607.8584 ns/op
WorkloadWarmup  10: 1048576 op, 639113000.00 ns, 609.5057 ns/op
WorkloadWarmup  11: 1048576 op, 641482300.00 ns, 611.7652 ns/op
WorkloadWarmup  12: 1048576 op, 636513000.00 ns, 607.0261 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 638865500.00 ns, 609.2696 ns/op
WorkloadActual   2: 1048576 op, 634248000.00 ns, 604.8660 ns/op
WorkloadActual   3: 1048576 op, 632839100.00 ns, 603.5224 ns/op
WorkloadActual   4: 1048576 op, 635597600.00 ns, 606.1531 ns/op
WorkloadActual   5: 1048576 op, 633016600.00 ns, 603.6917 ns/op
