// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\2b2861ba-c573-4f00-b2cc-5ecab0301626
// command took 1.49s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\2b2861ba-c573-4f00-b2cc-5ecab0301626
// command took 2.53s and exited with 0
// ***** Done, took 00:00:04 (4.23 sec)   *****
// Found 2 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2b2861ba-c573-4f00-b2cc-5ecab0301626.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\2b2861ba-c573-4f00-b2cc-5ecab0301626\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 296300.00 ns, 296.3000 us/op
WorkloadJitting  1: 1 op, 290500.00 ns, 290.5000 us/op

OverheadJitting  2: 16 op, 240700.00 ns, 15.0437 us/op
WorkloadJitting  2: 16 op, 258000.00 ns, 16.1250 us/op

WorkloadPilot    1: 16 op, 4400.00 ns, 275.0000 ns/op
WorkloadPilot    2: 32 op, 6600.00 ns, 206.2500 ns/op
WorkloadPilot    3: 64 op, 15800.00 ns, 246.8750 ns/op
WorkloadPilot    4: 128 op, 23900.00 ns, 186.7188 ns/op
WorkloadPilot    5: 256 op, 45900.00 ns, 179.2969 ns/op
WorkloadPilot    6: 512 op, 94800.00 ns, 185.1562 ns/op
WorkloadPilot    7: 1024 op, 187300.00 ns, 182.9102 ns/op
WorkloadPilot    8: 2048 op, 364100.00 ns, 177.7832 ns/op
WorkloadPilot    9: 4096 op, 761600.00 ns, 185.9375 ns/op
WorkloadPilot   10: 8192 op, 1554000.00 ns, 189.6973 ns/op
WorkloadPilot   11: 16384 op, 3053900.00 ns, 186.3953 ns/op
WorkloadPilot   12: 32768 op, 6133600.00 ns, 187.1826 ns/op
WorkloadPilot   13: 65536 op, 12391800.00 ns, 189.0839 ns/op
WorkloadPilot   14: 131072 op, 23554300.00 ns, 179.7050 ns/op
WorkloadPilot   15: 262144 op, 46992900.00 ns, 179.2637 ns/op
WorkloadPilot   16: 524288 op, 93354200.00 ns, 178.0590 ns/op
WorkloadPilot   17: 1048576 op, 183652800.00 ns, 175.1450 ns/op
WorkloadPilot   18: 2097152 op, 347616100.00 ns, 165.7563 ns/op
WorkloadPilot   19: 4194304 op, 692991200.00 ns, 165.2220 ns/op

OverheadWarmup   1: 4194304 op, 8697900.00 ns, 2.0737 ns/op
OverheadWarmup   2: 4194304 op, 8687600.00 ns, 2.0713 ns/op
OverheadWarmup   3: 4194304 op, 8710300.00 ns, 2.0767 ns/op
OverheadWarmup   4: 4194304 op, 8693500.00 ns, 2.0727 ns/op
OverheadWarmup   5: 4194304 op, 8715700.00 ns, 2.0780 ns/op
OverheadWarmup   6: 4194304 op, 8701800.00 ns, 2.0747 ns/op

OverheadActual   1: 4194304 op, 8688600.00 ns, 2.0715 ns/op
OverheadActual   2: 4194304 op, 8697400.00 ns, 2.0736 ns/op
OverheadActual   3: 4194304 op, 8705300.00 ns, 2.0755 ns/op
OverheadActual   4: 4194304 op, 8709400.00 ns, 2.0765 ns/op
OverheadActual   5: 4194304 op, 8682400.00 ns, 2.0700 ns/op
OverheadActual   6: 4194304 op, 8680100.00 ns, 2.0695 ns/op
OverheadActual   7: 4194304 op, 8733300.00 ns, 2.0822 ns/op
OverheadActual   8: 4194304 op, 8706600.00 ns, 2.0758 ns/op
OverheadActual   9: 4194304 op, 8715900.00 ns, 2.0780 ns/op
OverheadActual  10: 4194304 op, 8701700.00 ns, 2.0746 ns/op
OverheadActual  11: 4194304 op, 8715600.00 ns, 2.0780 ns/op
OverheadActual  12: 4194304 op, 8719200.00 ns, 2.0788 ns/op
OverheadActual  13: 4194304 op, 8694800.00 ns, 2.0730 ns/op
OverheadActual  14: 4194304 op, 8703500.00 ns, 2.0751 ns/op
OverheadActual  15: 4194304 op, 8644700.00 ns, 2.0611 ns/op

WorkloadWarmup   1: 4194304 op, 692525100.00 ns, 165.1109 ns/op
WorkloadWarmup   2: 4194304 op, 692064700.00 ns, 165.0011 ns/op
WorkloadWarmup   3: 4194304 op, 684243300.00 ns, 163.1363 ns/op
WorkloadWarmup   4: 4194304 op, 691579500.00 ns, 164.8854 ns/op
WorkloadWarmup   5: 4194304 op, 685478900.00 ns, 163.4309 ns/op
WorkloadWarmup   6: 4194304 op, 706193800.00 ns, 168.3697 ns/op
WorkloadWarmup   7: 4194304 op, 697391700.00 ns, 166.2711 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 692938600.00 ns, 165.2094 ns/op
WorkloadActual   2: 4194304 op, 691124100.00 ns, 164.7768 ns/op
WorkloadActual   3: 4194304 op, 684117200.00 ns, 163.1063 ns/op
