// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\ea049e3b-f218-44b1-ac38-9b26275eaaed
// command took 1.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\ea049e3b-f218-44b1-ac38-9b26275eaaed
// command took 2.52s and exited with 0
// ***** Done, took 00:00:04 (4.22 sec)   *****
// Found 2 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ea049e3b-f218-44b1-ac38-9b26275eaaed.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\ea049e3b-f218-44b1-ac38-9b26275eaaed\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 290500.00 ns, 290.5000 us/op
WorkloadJitting  1: 1 op, 288000.00 ns, 288.0000 us/op

OverheadJitting  2: 16 op, 265100.00 ns, 16.5688 us/op
WorkloadJitting  2: 16 op, 242300.00 ns, 15.1438 us/op

WorkloadPilot    1: 16 op, 3500.00 ns, 218.7500 ns/op
WorkloadPilot    2: 32 op, 5500.00 ns, 171.8750 ns/op
WorkloadPilot    3: 64 op, 13500.00 ns, 210.9375 ns/op
WorkloadPilot    4: 128 op, 19000.00 ns, 148.4375 ns/op
WorkloadPilot    5: 256 op, 37400.00 ns, 146.0938 ns/op
WorkloadPilot    6: 512 op, 76600.00 ns, 149.6094 ns/op
WorkloadPilot    7: 1024 op, 146100.00 ns, 142.6758 ns/op
WorkloadPilot    8: 2048 op, 299100.00 ns, 146.0449 ns/op
WorkloadPilot    9: 4096 op, 613200.00 ns, 149.7070 ns/op
WorkloadPilot   10: 8192 op, 1265800.00 ns, 154.5166 ns/op
WorkloadPilot   11: 16384 op, 2693100.00 ns, 164.3738 ns/op
WorkloadPilot   12: 32768 op, 5068100.00 ns, 154.6661 ns/op
WorkloadPilot   13: 65536 op, 10208500.00 ns, 155.7693 ns/op
WorkloadPilot   14: 131072 op, 19531000.00 ns, 149.0097 ns/op
WorkloadPilot   15: 262144 op, 38560800.00 ns, 147.0978 ns/op
WorkloadPilot   16: 524288 op, 76637600.00 ns, 146.1746 ns/op
WorkloadPilot   17: 1048576 op, 125613800.00 ns, 119.7947 ns/op
WorkloadPilot   18: 2097152 op, 255284900.00 ns, 121.7293 ns/op
WorkloadPilot   19: 4194304 op, 490538400.00 ns, 116.9535 ns/op
WorkloadPilot   20: 8388608 op, 1021869900.00 ns, 121.8164 ns/op

OverheadWarmup   1: 8388608 op, 17366300.00 ns, 2.0702 ns/op
OverheadWarmup   2: 8388608 op, 17418400.00 ns, 2.0764 ns/op
OverheadWarmup   3: 8388608 op, 17345500.00 ns, 2.0677 ns/op
OverheadWarmup   4: 8388608 op, 17339200.00 ns, 2.0670 ns/op
OverheadWarmup   5: 8388608 op, 17385100.00 ns, 2.0725 ns/op
OverheadWarmup   6: 8388608 op, 17393900.00 ns, 2.0735 ns/op
OverheadWarmup   7: 8388608 op, 17582500.00 ns, 2.0960 ns/op
OverheadWarmup   8: 8388608 op, 17510000.00 ns, 2.0874 ns/op

OverheadActual   1: 8388608 op, 17641700.00 ns, 2.1031 ns/op
OverheadActual   2: 8388608 op, 17380500.00 ns, 2.0719 ns/op
OverheadActual   3: 8388608 op, 17649000.00 ns, 2.1039 ns/op
OverheadActual   4: 8388608 op, 17659000.00 ns, 2.1051 ns/op
OverheadActual   5: 8388608 op, 17625400.00 ns, 2.1011 ns/op
OverheadActual   6: 8388608 op, 17625800.00 ns, 2.1012 ns/op
OverheadActual   7: 8388608 op, 17710900.00 ns, 2.1113 ns/op
OverheadActual   8: 8388608 op, 17587500.00 ns, 2.0966 ns/op
OverheadActual   9: 8388608 op, 17499900.00 ns, 2.0862 ns/op
OverheadActual  10: 8388608 op, 15702800.00 ns, 1.8719 ns/op
OverheadActual  11: 8388608 op, 15453600.00 ns, 1.8422 ns/op
OverheadActual  12: 8388608 op, 15456900.00 ns, 1.8426 ns/op
OverheadActual  13: 8388608 op, 15538900.00 ns, 1.8524 ns/op
OverheadActual  14: 8388608 op, 15511500.00 ns, 1.8491 ns/op
OverheadActual  15: 8388608 op, 15467900.00 ns, 1.8439 ns/op
OverheadActual  16: 8388608 op, 15503100.00 ns, 1.8481 ns/op
OverheadActual  17: 8388608 op, 15502100.00 ns, 1.8480 ns/op
OverheadActual  18: 8388608 op, 15411500.00 ns, 1.8372 ns/op
OverheadActual  19: 8388608 op, 15362900.00 ns, 1.8314 ns/op
OverheadActual  20: 8388608 op, 15389100.00 ns, 1.8345 ns/op

WorkloadWarmup   1: 8388608 op, 986929400.00 ns, 117.6512 ns/op
WorkloadWarmup   2: 8388608 op, 989050300.00 ns, 117.9040 ns/op
WorkloadWarmup   3: 8388608 op, 985426300.00 ns, 117.4720 ns/op
WorkloadWarmup   4: 8388608 op, 986509800.00 ns, 117.6011 ns/op
WorkloadWarmup   5: 8388608 op, 982307900.00 ns, 117.1002 ns/op
WorkloadWarmup   6: 8388608 op, 980834600.00 ns, 116.9246 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 982904500.00 ns, 117.1713 ns/op
WorkloadActual   2: 8388608 op, 984257500.00 ns, 117.3326 ns/op
WorkloadActual   3: 8388608 op, 981323700.00 ns, 116.9829 ns/op
WorkloadActual   4: 8388608 op, 991845900.00 ns, 118.2372 ns/op
WorkloadActual   5: 8388608 op, 1002118400.00 ns, 119.4618 ns/op
WorkloadActual   6: 8388608 op, 989806100.00 ns, 117.9941 ns/op
WorkloadActual   7: 8388608 op, 995046800.00 ns, 118.6188 ns/op
WorkloadActual   8: 8388608 op, 988524000.00 ns, 117.8412 ns/op
WorkloadActual   9: 8388608 op, 989595700.00 ns, 117.9690 ns/op
WorkloadActual  10: 8388608 op, 985232000.00 ns, 117.4488 ns/op
WorkloadActual  11: 8388608 op, 984287900.00 ns, 117.3363 ns/op
WorkloadActual  12: 8388608 op, 984179100.00 ns, 117.3233 ns/op
WorkloadActual  13: 8388608 op, 984546200.00 ns, 117.3671 ns/op
WorkloadActual  14: 8388608 op, 984947200.00 ns, 117.4149 ns/op
WorkloadActual  15: 8388608 op, 991545900.00 ns, 118.2015 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 967283650.00 ns, 115.3092 ns/op
WorkloadResult   2: 8388608 op, 968636650.00 ns, 115.4705 ns/op
WorkloadResult   3: 8388608 op, 965702850.00 ns, 115.1208 ns/op
WorkloadResult   4: 8388608 op, 976225050.00 ns, 116.3751 ns/op
WorkloadResult   5: 8388608 op, 986497550.00 ns, 117.5997 ns/op
WorkloadResult   6: 8388608 op, 974185250.00 ns, 116.1319 ns/op
WorkloadResult   7: 8388608 op, 979425950.00 ns, 116.7567 ns/op
WorkloadResult   8: 8388608 op, 972903150.00 ns, 115.9791 ns/op
WorkloadResult   9: 8388608 op, 973974850.00 ns, 116.1068 ns/op
WorkloadResult  10: 8388608 op, 969611150.00 ns, 115.5867 ns/op
WorkloadResult  11: 8388608 op, 968667050.00 ns, 115.4741 ns/op
WorkloadResult  12: 8388608 op, 968558250.00 ns, 115.4611 ns/op
WorkloadResult  13: 8388608 op, 968925350.00 ns, 115.5049 ns/op
WorkloadResult  14: 8388608 op, 969326350.00 ns, 115.5527 ns/op
WorkloadResult  15: 8388608 op, 975925050.00 ns, 116.3393 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 115.9179 ns, StdErr = 0.1694 ns (0.15%); N = 15, StdDev = 0.6562 ns
Min = 115.1208 ns, Q1 = 115.4705 ns, Median = 115.5867 ns, Q3 = 116.3393 ns, Max = 117.5997 ns
IQR = 0.8688 ns, LowerFence = 114.1672 ns, UpperFence = 117.6426 ns
ConfidenceInterval = [115.2163 ns; 116.6195 ns] (CI 99.9%), Margin = 0.7016 ns (0.61% of Mean)
Skewness = 1.03, Kurtosis = 3.34, MValue = 2

// **************************
// Benchmark: ContainsListInteger.PLinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ea049e3b-f218-44b1-ac38-9b26275eaaed.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.PLinqContains" --job "Default" --benchmarkId 1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\ea049e3b-f218-44b1-ac38-9b26275eaaed\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 287200.00 ns, 287.2000 us/op
WorkloadJitting  1: 1 op, 19993300.00 ns, 19.9933 ms/op

OverheadJitting  2: 16 op, 259300.00 ns, 16.2063 us/op
WorkloadJitting  2: 16 op, 860700.00 ns, 53.7938 us/op

WorkloadPilot    1: 16 op, 478600.00 ns, 29.9125 us/op
WorkloadPilot    2: 32 op, 936700.00 ns, 29.2719 us/op
WorkloadPilot    3: 64 op, 2277000.00 ns, 35.5781 us/op
WorkloadPilot    4: 128 op, 3674000.00 ns, 28.7031 us/op
WorkloadPilot    5: 256 op, 7305800.00 ns, 28.5383 us/op
WorkloadPilot    6: 512 op, 14851000.00 ns, 29.0059 us/op
WorkloadPilot    7: 1024 op, 27608700.00 ns, 26.9616 us/op
WorkloadPilot    8: 2048 op, 54412200.00 ns, 26.5685 us/op
WorkloadPilot    9: 4096 op, 109182300.00 ns, 26.6558 us/op
WorkloadPilot   10: 8192 op, 201199900.00 ns, 24.5605 us/op
WorkloadPilot   11: 16384 op, 398233900.00 ns, 24.3063 us/op
WorkloadPilot   12: 32768 op, 750768500.00 ns, 22.9116 us/op

OverheadWarmup   1: 32768 op, 89300.00 ns, 2.7252 ns/op
OverheadWarmup   2: 32768 op, 86300.00 ns, 2.6337 ns/op
OverheadWarmup   3: 32768 op, 71600.00 ns, 2.1851 ns/op
OverheadWarmup   4: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadWarmup   5: 32768 op, 68500.00 ns, 2.0905 ns/op
OverheadWarmup   6: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadWarmup   7: 32768 op, 75100.00 ns, 2.2919 ns/op
OverheadWarmup   8: 32768 op, 79200.00 ns, 2.4170 ns/op
OverheadWarmup   9: 32768 op, 68600.00 ns, 2.0935 ns/op

OverheadActual   1: 32768 op, 95900.00 ns, 2.9266 ns/op
OverheadActual   2: 32768 op, 68100.00 ns, 2.0782 ns/op
OverheadActual   3: 32768 op, 88400.00 ns, 2.6978 ns/op
OverheadActual   4: 32768 op, 68400.00 ns, 2.0874 ns/op
OverheadActual   5: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual   6: 32768 op, 78300.00 ns, 2.3895 ns/op
OverheadActual   7: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual   8: 32768 op, 68100.00 ns, 2.0782 ns/op
OverheadActual   9: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual  10: 32768 op, 81500.00 ns, 2.4872 ns/op
OverheadActual  11: 32768 op, 84700.00 ns, 2.5848 ns/op
OverheadActual  12: 32768 op, 68600.00 ns, 2.0935 ns/op
OverheadActual  13: 32768 op, 68500.00 ns, 2.0905 ns/op
OverheadActual  14: 32768 op, 68600.00 ns, 2.0935 ns/op
OverheadActual  15: 32768 op, 68400.00 ns, 2.0874 ns/op
OverheadActual  16: 32768 op, 68500.00 ns, 2.0905 ns/op
OverheadActual  17: 32768 op, 95700.00 ns, 2.9205 ns/op
OverheadActual  18: 32768 op, 68400.00 ns, 2.0874 ns/op
OverheadActual  19: 32768 op, 68600.00 ns, 2.0935 ns/op
OverheadActual  20: 32768 op, 68500.00 ns, 2.0905 ns/op

WorkloadWarmup   1: 32768 op, 790305900.00 ns, 24.1182 us/op
WorkloadWarmup   2: 32768 op, 757793900.00 ns, 23.1260 us/op
WorkloadWarmup   3: 32768 op, 771021800.00 ns, 23.5297 us/op
WorkloadWarmup   4: 32768 op, 798575600.00 ns, 24.3706 us/op
WorkloadWarmup   5: 32768 op, 764384400.00 ns, 23.3272 us/op
WorkloadWarmup   6: 32768 op, 775191500.00 ns, 23.6570 us/op
WorkloadWarmup   7: 32768 op, 771879400.00 ns, 23.5559 us/op

// BeforeActualRun
WorkloadActual   1: 32768 op, 811278900.00 ns, 24.7583 us/op
WorkloadActual   2: 32768 op, 795994900.00 ns, 24.2918 us/op
WorkloadActual   3: 32768 op, 754685900.00 ns, 23.0312 us/op
WorkloadActual   4: 32768 op, 775026200.00 ns, 23.6519 us/op
WorkloadActual   5: 32768 op, 765878800.00 ns, 23.3728 us/op
WorkloadActual   6: 32768 op, 756454100.00 ns, 23.0851 us/op
WorkloadActual   7: 32768 op, 759766400.00 ns, 23.1862 us/op
WorkloadActual   8: 32768 op, 751582300.00 ns, 22.9365 us/op
WorkloadActual   9: 32768 op, 788520200.00 ns, 24.0637 us/op
WorkloadActual  10: 32768 op, 752699400.00 ns, 22.9706 us/op
WorkloadActual  11: 32768 op, 763135100.00 ns, 23.2890 us/op
WorkloadActual  12: 32768 op, 773816300.00 ns, 23.6150 us/op
WorkloadActual  13: 32768 op, 778832000.00 ns, 23.7681 us/op
WorkloadActual  14: 32768 op, 760035500.00 ns, 23.1944 us/op
WorkloadActual  15: 32768 op, 769084300.00 ns, 23.4706 us/op

// AfterActualRun
WorkloadResult   1: 32768 op, 811210400.00 ns, 24.7562 us/op
WorkloadResult   2: 32768 op, 795926400.00 ns, 24.2897 us/op
WorkloadResult   3: 32768 op, 754617400.00 ns, 23.0291 us/op
WorkloadResult   4: 32768 op, 774957700.00 ns, 23.6498 us/op
WorkloadResult   5: 32768 op, 765810300.00 ns, 23.3707 us/op
WorkloadResult   6: 32768 op, 756385600.00 ns, 23.0831 us/op
WorkloadResult   7: 32768 op, 759697900.00 ns, 23.1841 us/op
WorkloadResult   8: 32768 op, 751513800.00 ns, 22.9344 us/op
WorkloadResult   9: 32768 op, 788451700.00 ns, 24.0616 us/op
WorkloadResult  10: 32768 op, 752630900.00 ns, 22.9685 us/op
WorkloadResult  11: 32768 op, 763066600.00 ns, 23.2869 us/op
WorkloadResult  12: 32768 op, 773747800.00 ns, 23.6129 us/op
WorkloadResult  13: 32768 op, 778763500.00 ns, 23.7660 us/op
WorkloadResult  14: 32768 op, 759967000.00 ns, 23.1924 us/op
WorkloadResult  15: 32768 op, 769015800.00 ns, 23.4685 us/op
GC:  0 0 0 0 0

// AfterAll

Mean = 23.5103 us, StdErr = 0.1359 us (0.58%); N = 15, StdDev = 0.5262 us
Min = 22.9344 us, Q1 = 23.0831 us, Median = 23.3707 us, Q3 = 23.7660 us, Max = 24.7562 us
IQR = 0.6829 us, LowerFence = 22.0587 us, UpperFence = 24.7904 us
ConfidenceInterval = [22.9477 us; 24.0728 us] (CI 99.9%), Margin = 0.5626 us (2.39% of Mean)
Skewness = 0.9, Kurtosis = 2.77, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\ListBenchmarks.ContainsListInteger-report.csv
  BenchmarkDotNet.Artifacts\results\ListBenchmarks.ContainsListInteger-report-github.md
  BenchmarkDotNet.Artifacts\results\ListBenchmarks.ContainsListInteger-report.html

// * Detailed results *
ContainsListInteger.LinqContains: DefaultJob
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 115.9179 ns, StdErr = 0.1694 ns (0.15%); N = 15, StdDev = 0.6562 ns
Min = 115.1208 ns, Q1 = 115.4705 ns, Median = 115.5867 ns, Q3 = 116.3393 ns, Max = 117.5997 ns
IQR = 0.8688 ns, LowerFence = 114.1672 ns, UpperFence = 117.6426 ns
ConfidenceInterval = [115.2163 ns; 116.6195 ns] (CI 99.9%), Margin = 0.7016 ns (0.61% of Mean)
Skewness = 1.03, Kurtosis = 3.34, MValue = 2
-------------------- Histogram --------------------
[114.888 ns ; 117.833 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

ContainsListInteger.PLinqContains: DefaultJob
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 23.5103 us, StdErr = 0.1359 us (0.58%); N = 15, StdDev = 0.5262 us
Min = 22.9344 us, Q1 = 23.0831 us, Median = 23.3707 us, Q3 = 23.7660 us, Max = 24.7562 us
IQR = 0.6829 us, LowerFence = 22.0587 us, UpperFence = 24.7904 us
ConfidenceInterval = [22.9477 us; 24.0728 us] (CI 99.9%), Margin = 0.5626 us (2.39% of Mean)
Skewness = 0.9, Kurtosis = 2.77, MValue = 2
-------------------- Histogram --------------------
[22.880 us ; 23.745 us) | @@@@@@@@@@@
[23.745 us ; 24.417 us) | @@@
[24.417 us ; 24.943 us) | @
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.18362
AMD Ryzen 5 1600, 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=3.0.100
  [Host]     : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT  [AttachedDebugger]
  DefaultJob : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT


|        Method |        Mean |       Error |      StdDev |
|-------------- |------------:|------------:|------------:|
|  LinqContains |    115.9 ns |   0.7016 ns |   0.6562 ns |
| PLinqContains | 23,510.3 ns | 562.5854 ns | 526.2428 ns |

// * Warnings *
Environment
  Summary -> Benchmark was executed with attached debugger

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:43 (43.42 sec), executed benchmarks: 2

Global total time: 00:00:47 (47.65 sec), executed benchmarks: 2
// * Artifacts cleanup *
