// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\d2cfeecd-cdd1-4b3f-bc42-09a5868055a2
// command took 1.53s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\d2cfeecd-cdd1-4b3f-bc42-09a5868055a2
// command took 2.64s and exited with 0
// ***** Done, took 00:00:04 (4.4 sec)   *****
// Found 2 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d2cfeecd-cdd1-4b3f-bc42-09a5868055a2.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\d2cfeecd-cdd1-4b3f-bc42-09a5868055a2\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 305300.00 ns, 305.3000 us/op
WorkloadJitting  1: 1 op, 297500.00 ns, 297.5000 us/op

OverheadJitting  2: 16 op, 244400.00 ns, 15.2750 us/op
WorkloadJitting  2: 16 op, 238300.00 ns, 14.8938 us/op

WorkloadPilot    1: 16 op, 11400.00 ns, 712.5000 ns/op
WorkloadPilot    2: 32 op, 23600.00 ns, 737.5000 ns/op
WorkloadPilot    3: 64 op, 30100.00 ns, 470.3125 ns/op
WorkloadPilot    4: 128 op, 59600.00 ns, 465.6250 ns/op
WorkloadPilot    5: 256 op, 118400.00 ns, 462.5000 ns/op
WorkloadPilot    6: 512 op, 239500.00 ns, 467.7734 ns/op
WorkloadPilot    7: 1024 op, 467600.00 ns, 456.6406 ns/op
WorkloadPilot    8: 2048 op, 943100.00 ns, 460.4980 ns/op
WorkloadPilot    9: 4096 op, 1896100.00 ns, 462.9150 ns/op
WorkloadPilot   10: 8192 op, 3883800.00 ns, 474.0967 ns/op
WorkloadPilot   11: 16384 op, 7847700.00 ns, 478.9856 ns/op
WorkloadPilot   12: 32768 op, 15563800.00 ns, 474.9695 ns/op
WorkloadPilot   13: 65536 op, 31469000.00 ns, 480.1788 ns/op
WorkloadPilot   14: 131072 op, 60946800.00 ns, 464.9872 ns/op
WorkloadPilot   15: 262144 op, 100372700.00 ns, 382.8915 ns/op
WorkloadPilot   16: 524288 op, 239331400.00 ns, 456.4884 ns/op
WorkloadPilot   17: 1048576 op, 420150500.00 ns, 400.6867 ns/op
WorkloadPilot   18: 2097152 op, 819461400.00 ns, 390.7496 ns/op

OverheadWarmup   1: 2097152 op, 4339000.00 ns, 2.0690 ns/op
OverheadWarmup   2: 2097152 op, 4343200.00 ns, 2.0710 ns/op
OverheadWarmup   3: 2097152 op, 4357100.00 ns, 2.0776 ns/op
OverheadWarmup   4: 2097152 op, 4418500.00 ns, 2.1069 ns/op
OverheadWarmup   5: 2097152 op, 4344000.00 ns, 2.0714 ns/op
OverheadWarmup   6: 2097152 op, 4338200.00 ns, 2.0686 ns/op
OverheadWarmup   7: 2097152 op, 4340800.00 ns, 2.0699 ns/op
OverheadWarmup   8: 2097152 op, 4341600.00 ns, 2.0702 ns/op
OverheadWarmup   9: 2097152 op, 4391300.00 ns, 2.0939 ns/op
OverheadWarmup  10: 2097152 op, 4478700.00 ns, 2.1356 ns/op

