// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\abf51502-9f9b-4aec-b479-b847780fdbd7
// command took 1.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\abf51502-9f9b-4aec-b479-b847780fdbd7
// command took 2.58s and exited with 0
// ***** Done, took 00:00:04 (4.28 sec)   *****
// Found 2 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "abf51502-9f9b-4aec-b479-b847780fdbd7.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\abf51502-9f9b-4aec-b479-b847780fdbd7\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 294300.00 ns, 294.3000 us/op
WorkloadJitting  1: 1 op, 304900.00 ns, 304.9000 us/op

OverheadJitting  2: 16 op, 256800.00 ns, 16.0500 us/op
WorkloadJitting  2: 16 op, 253100.00 ns, 15.8188 us/op

WorkloadPilot    1: 16 op, 7400.00 ns, 462.5000 ns/op
WorkloadPilot    2: 32 op, 17200.00 ns, 537.5000 ns/op
WorkloadPilot    3: 64 op, 24300.00 ns, 379.6875 ns/op
WorkloadPilot    4: 128 op, 67100.00 ns, 524.2188 ns/op
WorkloadPilot    5: 256 op, 132500.00 ns, 517.5781 ns/op
WorkloadPilot    6: 512 op, 212500.00 ns, 415.0391 ns/op
WorkloadPilot    7: 1024 op, 380000.00 ns, 371.0938 ns/op
WorkloadPilot    8: 2048 op, 773500.00 ns, 377.6855 ns/op
WorkloadPilot    9: 4096 op, 1580400.00 ns, 385.8398 ns/op
WorkloadPilot   10: 8192 op, 3194200.00 ns, 389.9170 ns/op
WorkloadPilot   11: 16384 op, 6385500.00 ns, 389.7400 ns/op
WorkloadPilot   12: 32768 op, 12614800.00 ns, 384.9731 ns/op
WorkloadPilot   13: 65536 op, 25272800.00 ns, 385.6323 ns/op
WorkloadPilot   14: 131072 op, 49135900.00 ns, 374.8772 ns/op
WorkloadPilot   15: 262144 op, 83366700.00 ns, 318.0187 ns/op
WorkloadPilot   16: 524288 op, 151742600.00 ns, 289.4260 ns/op
WorkloadPilot   17: 1048576 op, 301564500.00 ns, 287.5943 ns/op
WorkloadPilot   18: 2097152 op, 601201700.00 ns, 286.6753 ns/op

OverheadWarmup   1: 2097152 op, 4353500.00 ns, 2.0759 ns/op
OverheadWarmup   2: 2097152 op, 4408700.00 ns, 2.1022 ns/op
OverheadWarmup   3: 2097152 op, 4344400.00 ns, 2.0716 ns/op
OverheadWarmup   4: 2097152 op, 4346200.00 ns, 2.0724 ns/op
OverheadWarmup   5: 2097152 op, 4340300.00 ns, 2.0696 ns/op

OverheadActual   1: 2097152 op, 4358900.00 ns, 2.0785 ns/op
OverheadActual   2: 2097152 op, 4347900.00 ns, 2.0732 ns/op
OverheadActual   3: 2097152 op, 4362700.00 ns, 2.0803 ns/op
OverheadActual   4: 2097152 op, 4354300.00 ns, 2.0763 ns/op
OverheadActual   5: 2097152 op, 4349200.00 ns, 2.0739 ns/op
OverheadActual   6: 2097152 op, 4360100.00 ns, 2.0791 ns/op
OverheadActual   7: 2097152 op, 4349200.00 ns, 2.0739 ns/op
OverheadActual   8: 2097152 op, 4341800.00 ns, 2.0703 ns/op
OverheadActual   9: 2097152 op, 4346100.00 ns, 2.0724 ns/op
OverheadActual  10: 2097152 op, 4338100.00 ns, 2.0686 ns/op
OverheadActual  11: 2097152 op, 4368100.00 ns, 2.0829 ns/op
OverheadActual  12: 2097152 op, 4338700.00 ns, 2.0689 ns/op
OverheadActual  13: 2097152 op, 4339900.00 ns, 2.0694 ns/op
OverheadActual  14: 2097152 op, 4362600.00 ns, 2.0802 ns/op
OverheadActual  15: 2097152 op, 4432200.00 ns, 2.1134 ns/op

WorkloadWarmup   1: 2097152 op, 605350300.00 ns, 288.6535 ns/op
WorkloadWarmup   2: 2097152 op, 603898400.00 ns, 287.9612 ns/op
WorkloadWarmup   3: 2097152 op, 605293000.00 ns, 288.6262 ns/op
WorkloadWarmup   4: 2097152 op, 606171500.00 ns, 289.0451 ns/op
WorkloadWarmup   5: 2097152 op, 609660000.00 ns, 290.7085 ns/op
WorkloadWarmup   6: 2097152 op, 609212500.00 ns, 290.4952 ns/op
WorkloadWarmup   7: 2097152 op, 605445400.00 ns, 288.6989 ns/op
WorkloadWarmup   8: 2097152 op, 603678700.00 ns, 287.8564 ns/op
WorkloadWarmup   9: 2097152 op, 603864300.00 ns, 287.9449 ns/op
WorkloadWarmup  10: 2097152 op, 603732700.00 ns, 287.8822 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 603688000.00 ns, 287.8609 ns/op
WorkloadActual   2: 2097152 op, 598207400.00 ns, 285.2475 ns/op
WorkloadActual   3: 2097152 op, 605032500.00 ns, 288.5020 ns/op
WorkloadActual   4: 2097152 op, 606540400.00 ns, 289.2210 ns/op
WorkloadActual   5: 2097152 op, 604604200.00 ns, 288.2977 ns/op
WorkloadActual   6: 2097152 op, 611189100.00 ns, 291.4377 ns/op
WorkloadActual   7: 2097152 op, 609385100.00 ns, 290.5775 ns/op
WorkloadActual   8: 2097152 op, 604204600.00 ns, 288.1072 ns/op
WorkloadActual   9: 2097152 op, 607477900.00 ns, 289.6680 ns/op
WorkloadActual  10: 2097152 op, 605842600.00 ns, 288.8883 ns/op
WorkloadActual  11: 2097152 op, 599311200.00 ns, 285.7738 ns/op
WorkloadActual  12: 2097152 op, 607011600.00 ns, 289.4457 ns/op
WorkloadActual  13: 2097152 op, 609978100.00 ns, 290.8602 ns/op
WorkloadActual  14: 2097152 op, 610106400.00 ns, 290.9214 ns/op
WorkloadActual  15: 2097152 op, 603662300.00 ns, 287.8486 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 599338800.00 ns, 285.7870 ns/op
WorkloadResult   2: 2097152 op, 593858200.00 ns, 283.1737 ns/op
WorkloadResult   3: 2097152 op, 600683300.00 ns, 286.4281 ns/op
WorkloadResult   4: 2097152 op, 602191200.00 ns, 287.1471 ns/op
WorkloadResult   5: 2097152 op, 600255000.00 ns, 286.2239 ns/op
WorkloadResult   6: 2097152 op, 606839900.00 ns, 289.3638 ns/op
WorkloadResult   7: 2097152 op, 605035900.00 ns, 288.5036 ns/op
WorkloadResult   8: 2097152 op, 599855400.00 ns, 286.0333 ns/op
WorkloadResult   9: 2097152 op, 603128700.00 ns, 287.5942 ns/op
WorkloadResult  10: 2097152 op, 601493400.00 ns, 286.8144 ns/op
WorkloadResult  11: 2097152 op, 594962000.00 ns, 283.7000 ns/op
WorkloadResult  12: 2097152 op, 602662400.00 ns, 287.3718 ns/op
WorkloadResult  13: 2097152 op, 605628900.00 ns, 288.7864 ns/op
WorkloadResult  14: 2097152 op, 605757200.00 ns, 288.8475 ns/op
WorkloadResult  15: 2097152 op, 599313100.00 ns, 285.7748 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 286.7700 ns, StdErr = 0.4607 ns (0.16%); N = 15, StdDev = 1.7843 ns
Min = 283.1737 ns, Q1 = 285.7870 ns, Median = 286.8144 ns, Q3 = 288.5036 ns, Max = 289.3638 ns
IQR = 2.7166 ns, LowerFence = 281.7121 ns, UpperFence = 292.5785 ns
ConfidenceInterval = [284.8624 ns; 288.6775 ns] (CI 99.9%), Margin = 1.9076 ns (0.67% of Mean)
Skewness = -0.44, Kurtosis = 2.29, MValue = 2

// **************************
// Benchmark: ContainsListInteger.PLinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "abf51502-9f9b-4aec-b479-b847780fdbd7.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.PLinqContains" --job "Default" --benchmarkId 1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\abf51502-9f9b-4aec-b479-b847780fdbd7\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 343600.00 ns, 343.6000 us/op
WorkloadJitting  1: 1 op, 21230900.00 ns, 21.2309 ms/op

OverheadJitting  2: 16 op, 271100.00 ns, 16.9438 us/op
WorkloadJitting  2: 16 op, 776600.00 ns, 48.5375 us/op

WorkloadPilot    1: 16 op, 377000.00 ns, 23.5625 us/op
WorkloadPilot    2: 32 op, 717000.00 ns, 22.4062 us/op
WorkloadPilot    3: 64 op, 1446300.00 ns, 22.5984 us/op
WorkloadPilot    4: 128 op, 2881700.00 ns, 22.5133 us/op
WorkloadPilot    5: 256 op, 5526000.00 ns, 21.5859 us/op
WorkloadPilot    6: 512 op, 11169900.00 ns, 21.8162 us/op
WorkloadPilot    7: 1024 op, 20123100.00 ns, 19.6515 us/op
WorkloadPilot    8: 2048 op, 41753800.00 ns, 20.3876 us/op
WorkloadPilot    9: 4096 op, 84682600.00 ns, 20.6745 us/op
WorkloadPilot   10: 8192 op, 163289600.00 ns, 19.9328 us/op
WorkloadPilot   11: 16384 op, 323511700.00 ns, 19.7456 us/op
WorkloadPilot   12: 32768 op, 636969900.00 ns, 19.4388 us/op

OverheadWarmup   1: 32768 op, 70000.00 ns, 2.1362 ns/op
OverheadWarmup   2: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadWarmup   3: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadWarmup   4: 32768 op, 67800.00 ns, 2.0691 ns/op
OverheadWarmup   5: 32768 op, 67800.00 ns, 2.0691 ns/op
OverheadWarmup   6: 32768 op, 68000.00 ns, 2.0752 ns/op

OverheadActual   1: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadActual   2: 32768 op, 68100.00 ns, 2.0782 ns/op
OverheadActual   3: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual   4: 32768 op, 70300.00 ns, 2.1454 ns/op
OverheadActual   5: 32768 op, 68100.00 ns, 2.0782 ns/op
OverheadActual   6: 32768 op, 73300.00 ns, 2.2369 ns/op
OverheadActual   7: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadActual   8: 32768 op, 67800.00 ns, 2.0691 ns/op
OverheadActual   9: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadActual  10: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual  11: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadActual  12: 32768 op, 67800.00 ns, 2.0691 ns/op
OverheadActual  13: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual  14: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual  15: 32768 op, 67900.00 ns, 2.0721 ns/op

WorkloadWarmup   1: 32768 op, 601653100.00 ns, 18.3610 us/op
WorkloadWarmup   2: 32768 op, 584636000.00 ns, 17.8417 us/op
WorkloadWarmup   3: 32768 op, 582346400.00 ns, 17.7718 us/op
WorkloadWarmup   4: 32768 op, 587559400.00 ns, 17.9309 us/op
WorkloadWarmup   5: 32768 op, 579485100.00 ns, 17.6845 us/op
WorkloadWarmup   6: 32768 op, 588273300.00 ns, 17.9527 us/op
WorkloadWarmup   7: 32768 op, 583921900.00 ns, 17.8199 us/op

// BeforeActualRun
WorkloadActual   1: 32768 op, 575494500.00 ns, 17.5627 us/op
WorkloadActual   2: 32768 op, 583350400.00 ns, 17.8024 us/op
WorkloadActual   3: 32768 op, 584741400.00 ns, 17.8449 us/op
WorkloadActual   4: 32768 op, 579649300.00 ns, 17.6895 us/op
WorkloadActual   5: 32768 op, 581058300.00 ns, 17.7325 us/op
WorkloadActual   6: 32768 op, 577431100.00 ns, 17.6218 us/op
WorkloadActual   7: 32768 op, 573130500.00 ns, 17.4906 us/op
WorkloadActual   8: 32768 op, 584578400.00 ns, 17.8399 us/op
WorkloadActual   9: 32768 op, 581993700.00 ns, 17.7610 us/op
WorkloadActual  10: 32768 op, 584706900.00 ns, 17.8438 us/op
WorkloadActual  11: 32768 op, 565679100.00 ns, 17.2632 us/op
WorkloadActual  12: 32768 op, 557874100.00 ns, 17.0250 us/op
WorkloadActual  13: 32768 op, 561526000.00 ns, 17.1364 us/op
WorkloadActual  14: 32768 op, 561623100.00 ns, 17.1394 us/op
WorkloadActual  15: 32768 op, 567922500.00 ns, 17.3316 us/op

// AfterActualRun
WorkloadResult   1: 32768 op, 575426500.00 ns, 17.5606 us/op
WorkloadResult   2: 32768 op, 583282400.00 ns, 17.8004 us/op
WorkloadResult   3: 32768 op, 584673400.00 ns, 17.8428 us/op
WorkloadResult   4: 32768 op, 579581300.00 ns, 17.6874 us/op
WorkloadResult   5: 32768 op, 580990300.00 ns, 17.7304 us/op
WorkloadResult   6: 32768 op, 577363100.00 ns, 17.6197 us/op
WorkloadResult   7: 32768 op, 573062500.00 ns, 17.4885 us/op
WorkloadResult   8: 32768 op, 584510400.00 ns, 17.8378 us/op
WorkloadResult   9: 32768 op, 581925700.00 ns, 17.7590 us/op
WorkloadResult  10: 32768 op, 584638900.00 ns, 17.8418 us/op
WorkloadResult  11: 32768 op, 565611100.00 ns, 17.2611 us/op
WorkloadResult  12: 32768 op, 557806100.00 ns, 17.0229 us/op
WorkloadResult  13: 32768 op, 561458000.00 ns, 17.1343 us/op
WorkloadResult  14: 32768 op, 561555100.00 ns, 17.1373 us/op
WorkloadResult  15: 32768 op, 567854500.00 ns, 17.3295 us/op
GC:  0 0 0 0 0

// AfterAll

Mean = 17.5369 us, StdErr = 0.0747 us (0.43%); N = 15, StdDev = 0.2892 us
Min = 17.0229 us, Q1 = 17.2611 us, Median = 17.6197 us, Q3 = 17.8004 us, Max = 17.8428 us
IQR = 0.5393 us, LowerFence = 16.4522 us, UpperFence = 18.6093 us
ConfidenceInterval = [17.2278 us; 17.8460 us] (CI 99.9%), Margin = 0.3091 us (1.76% of Mean)
Skewness = -0.47, Kurtosis = 1.56, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\ListBenchmarks.ContainsListInteger-report.csv
  BenchmarkDotNet.Artifacts\results\ListBenchmarks.ContainsListInteger-report-github.md
  BenchmarkDotNet.Artifacts\results\ListBenchmarks.ContainsListInteger-report.html

// * Detailed results *
ContainsListInteger.LinqContains: DefaultJob
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 286.7700 ns, StdErr = 0.4607 ns (0.16%); N = 15, StdDev = 1.7843 ns
Min = 283.1737 ns, Q1 = 285.7870 ns, Median = 286.8144 ns, Q3 = 288.5036 ns, Max = 289.3638 ns
IQR = 2.7166 ns, LowerFence = 281.7121 ns, UpperFence = 292.5785 ns
ConfidenceInterval = [284.8624 ns; 288.6775 ns] (CI 99.9%), Margin = 1.9076 ns (0.67% of Mean)
Skewness = -0.44, Kurtosis = 2.29, MValue = 2
-------------------- Histogram --------------------
[282.541 ns ; 289.997 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

ContainsListInteger.PLinqContains: DefaultJob
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 17.5369 us, StdErr = 0.0747 us (0.43%); N = 15, StdDev = 0.2892 us
Min = 17.0229 us, Q1 = 17.2611 us, Median = 17.6197 us, Q3 = 17.8004 us, Max = 17.8428 us
IQR = 0.5393 us, LowerFence = 16.4522 us, UpperFence = 18.6093 us
ConfidenceInterval = [17.2278 us; 17.8460 us] (CI 99.9%), Margin = 0.3091 us (1.76% of Mean)
Skewness = -0.47, Kurtosis = 1.56, MValue = 2
-------------------- Histogram --------------------
[16.920 us ; 17.404 us) | @@@@@
[17.404 us ; 17.945 us) | @@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.18362
AMD Ryzen 5 1600, 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=3.0.100
  [Host]     : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT  [AttachedDebugger]
  DefaultJob : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT


|        Method |        Mean |      Error |     StdDev |
|-------------- |------------:|-----------:|-----------:|
|  LinqContains |    286.8 ns |   1.908 ns |   1.784 ns |
| PLinqContains | 17,536.9 ns | 309.145 ns | 289.174 ns |

// * Warnings *
Environment
  Summary -> Benchmark was executed with attached debugger

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:35 (35.18 sec), executed benchmarks: 2

Global total time: 00:00:39 (39.47 sec), executed benchmarks: 2
// * Artifacts cleanup *
