// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\571e5fff-9808-42e1-9d1d-5908eafc1506
// command took 1.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\571e5fff-9808-42e1-9d1d-5908eafc1506
// command took 2.52s and exited with 0
// ***** Done, took 00:00:04 (4.21 sec)   *****
// Found 2 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "571e5fff-9808-42e1-9d1d-5908eafc1506.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\571e5fff-9808-42e1-9d1d-5908eafc1506\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 287100.00 ns, 287.1000 us/op
WorkloadJitting  1: 1 op, 284500.00 ns, 284.5000 us/op

OverheadJitting  2: 16 op, 348200.00 ns, 21.7625 us/op
WorkloadJitting  2: 16 op, 268100.00 ns, 16.7563 us/op

WorkloadPilot    1: 16 op, 5100.00 ns, 318.7500 ns/op
WorkloadPilot    2: 32 op, 7200.00 ns, 225.0000 ns/op
WorkloadPilot    3: 64 op, 17700.00 ns, 276.5625 ns/op
WorkloadPilot    4: 128 op, 26400.00 ns, 206.2500 ns/op
WorkloadPilot    5: 256 op, 51800.00 ns, 202.3438 ns/op
WorkloadPilot    6: 512 op, 110500.00 ns, 215.8203 ns/op
WorkloadPilot    7: 1024 op, 204500.00 ns, 199.7070 ns/op
WorkloadPilot    8: 2048 op, 419800.00 ns, 204.9805 ns/op
WorkloadPilot    9: 4096 op, 855900.00 ns, 208.9600 ns/op
WorkloadPilot   10: 8192 op, 1978000.00 ns, 241.4551 ns/op
WorkloadPilot   11: 16384 op, 3619800.00 ns, 220.9351 ns/op
WorkloadPilot   12: 32768 op, 7090500.00 ns, 216.3849 ns/op
WorkloadPilot   13: 65536 op, 14077700.00 ns, 214.8087 ns/op
WorkloadPilot   14: 131072 op, 26947800.00 ns, 205.5954 ns/op
WorkloadPilot   15: 262144 op, 53871600.00 ns, 205.5038 ns/op
WorkloadPilot   16: 524288 op, 101309800.00 ns, 193.2331 ns/op
WorkloadPilot   17: 1048576 op, 180710600.00 ns, 172.3391 ns/op
WorkloadPilot   18: 2097152 op, 356835000.00 ns, 170.1522 ns/op
WorkloadPilot   19: 4194304 op, 703094200.00 ns, 167.6307 ns/op

OverheadWarmup   1: 4194304 op, 8668000.00 ns, 2.0666 ns/op
OverheadWarmup   2: 4194304 op, 8692500.00 ns, 2.0725 ns/op
OverheadWarmup   3: 4194304 op, 8669100.00 ns, 2.0669 ns/op
OverheadWarmup   4: 4194304 op, 8668500.00 ns, 2.0667 ns/op
OverheadWarmup   5: 4194304 op, 8674700.00 ns, 2.0682 ns/op
OverheadWarmup   6: 4194304 op, 8671100.00 ns, 2.0674 ns/op

OverheadActual   1: 4194304 op, 8692700.00 ns, 2.0725 ns/op
OverheadActual   2: 4194304 op, 8676200.00 ns, 2.0686 ns/op
OverheadActual   3: 4194304 op, 8678600.00 ns, 2.0691 ns/op
OverheadActual   4: 4194304 op, 8689000.00 ns, 2.0716 ns/op
OverheadActual   5: 4194304 op, 8698500.00 ns, 2.0739 ns/op
OverheadActual   6: 4194304 op, 8675000.00 ns, 2.0683 ns/op
OverheadActual   7: 4194304 op, 8692400.00 ns, 2.0724 ns/op
OverheadActual   8: 4194304 op, 8679500.00 ns, 2.0694 ns/op
OverheadActual   9: 4194304 op, 8695000.00 ns, 2.0730 ns/op
OverheadActual  10: 4194304 op, 8770300.00 ns, 2.0910 ns/op
OverheadActual  11: 4194304 op, 8742200.00 ns, 2.0843 ns/op
OverheadActual  12: 4194304 op, 8719700.00 ns, 2.0789 ns/op
OverheadActual  13: 4194304 op, 8694500.00 ns, 2.0729 ns/op
OverheadActual  14: 4194304 op, 8733400.00 ns, 2.0822 ns/op
OverheadActual  15: 4194304 op, 8701100.00 ns, 2.0745 ns/op

WorkloadWarmup   1: 4194304 op, 706027900.00 ns, 168.3302 ns/op
WorkloadWarmup   2: 4194304 op, 709642700.00 ns, 169.1920 ns/op
WorkloadWarmup   3: 4194304 op, 710268300.00 ns, 169.3412 ns/op
WorkloadWarmup   4: 4194304 op, 709319600.00 ns, 169.1150 ns/op
WorkloadWarmup   5: 4194304 op, 714393400.00 ns, 170.3247 ns/op
WorkloadWarmup   6: 4194304 op, 714077800.00 ns, 170.2494 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 716120000.00 ns, 170.7363 ns/op
WorkloadActual   2: 4194304 op, 710275800.00 ns, 169.3429 ns/op
WorkloadActual   3: 4194304 op, 699136800.00 ns, 166.6872 ns/op
WorkloadActual   4: 4194304 op, 701249000.00 ns, 167.1908 ns/op
WorkloadActual   5: 4194304 op, 710409500.00 ns, 169.3748 ns/op
WorkloadActual   6: 4194304 op, 702754000.00 ns, 167.5496 ns/op
WorkloadActual   7: 4194304 op, 717524000.00 ns, 171.0711 ns/op
