// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\f7336935-49f0-4949-aa3e-5c2d4d57b488
// command took 1.45s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\f7336935-49f0-4949-aa3e-5c2d4d57b488
// command took 2.58s and exited with 0
// ***** Done, took 00:00:04 (4.23 sec)   *****
// Found 2 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f7336935-49f0-4949-aa3e-5c2d4d57b488.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\f7336935-49f0-4949-aa3e-5c2d4d57b488\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 300900.00 ns, 300.9000 us/op
WorkloadJitting  1: 1 op, 1030800.00 ns, 1.0308 ms/op

OverheadJitting  2: 16 op, 241500.00 ns, 15.0938 us/op
WorkloadJitting  2: 16 op, 271100.00 ns, 16.9438 us/op

WorkloadPilot    1: 16 op, 34000.00 ns, 2.1250 us/op
WorkloadPilot    2: 32 op, 66300.00 ns, 2.0719 us/op
WorkloadPilot    3: 64 op, 136600.00 ns, 2.1344 us/op
WorkloadPilot    4: 128 op, 267800.00 ns, 2.0922 us/op
WorkloadPilot    5: 256 op, 535200.00 ns, 2.0906 us/op
WorkloadPilot    6: 512 op, 1066200.00 ns, 2.0824 us/op
WorkloadPilot    7: 1024 op, 2115700.00 ns, 2.0661 us/op
WorkloadPilot    8: 2048 op, 4207800.00 ns, 2.0546 us/op
WorkloadPilot    9: 4096 op, 8466700.00 ns, 2.0671 us/op
WorkloadPilot   10: 8192 op, 16950600.00 ns, 2.0692 us/op
WorkloadPilot   11: 16384 op, 34124300.00 ns, 2.0828 us/op
WorkloadPilot   12: 32768 op, 67647200.00 ns, 2.0644 us/op
WorkloadPilot   13: 65536 op, 126939200.00 ns, 1.9369 us/op
WorkloadPilot   14: 131072 op, 247481300.00 ns, 1.8881 us/op
WorkloadPilot   15: 262144 op, 493534100.00 ns, 1.8827 us/op
WorkloadPilot   16: 524288 op, 986517800.00 ns, 1.8816 us/op

OverheadWarmup   1: 524288 op, 1101800.00 ns, 2.1015 ns/op
OverheadWarmup   2: 524288 op, 1083900.00 ns, 2.0674 ns/op
OverheadWarmup   3: 524288 op, 1086100.00 ns, 2.0716 ns/op
OverheadWarmup   4: 524288 op, 1083600.00 ns, 2.0668 ns/op
OverheadWarmup   5: 524288 op, 1083800.00 ns, 2.0672 ns/op
OverheadWarmup   6: 524288 op, 1083600.00 ns, 2.0668 ns/op

OverheadActual   1: 524288 op, 1087100.00 ns, 2.0735 ns/op
OverheadActual   2: 524288 op, 1085800.00 ns, 2.0710 ns/op
OverheadActual   3: 524288 op, 1088500.00 ns, 2.0761 ns/op
OverheadActual   4: 524288 op, 1086700.00 ns, 2.0727 ns/op
OverheadActual   5: 524288 op, 1089800.00 ns, 2.0786 ns/op
OverheadActual   6: 524288 op, 1089300.00 ns, 2.0777 ns/op
OverheadActual   7: 524288 op, 1088300.00 ns, 2.0758 ns/op
OverheadActual   8: 524288 op, 1116800.00 ns, 2.1301 ns/op
OverheadActual   9: 524288 op, 1083900.00 ns, 2.0674 ns/op
OverheadActual  10: 524288 op, 1087500.00 ns, 2.0742 ns/op
OverheadActual  11: 524288 op, 1084200.00 ns, 2.0679 ns/op
OverheadActual  12: 524288 op, 1083800.00 ns, 2.0672 ns/op
OverheadActual  13: 524288 op, 1083800.00 ns, 2.0672 ns/op
OverheadActual  14: 524288 op, 1088900.00 ns, 2.0769 ns/op
OverheadActual  15: 524288 op, 1087600.00 ns, 2.0744 ns/op

WorkloadWarmup   1: 524288 op, 988495600.00 ns, 1.8854 us/op
WorkloadWarmup   2: 524288 op, 985784600.00 ns, 1.8802 us/op
WorkloadWarmup   3: 524288 op, 985737600.00 ns, 1.8801 us/op
WorkloadWarmup   4: 524288 op, 986355500.00 ns, 1.8813 us/op
WorkloadWarmup   5: 524288 op, 985957000.00 ns, 1.8806 us/op
WorkloadWarmup   6: 524288 op, 987311200.00 ns, 1.8831 us/op
WorkloadWarmup   7: 524288 op, 987961400.00 ns, 1.8844 us/op
WorkloadWarmup   8: 524288 op, 991538400.00 ns, 1.8912 us/op
WorkloadWarmup   9: 524288 op, 995264900.00 ns, 1.8983 us/op
WorkloadWarmup  10: 524288 op, 994255600.00 ns, 1.8964 us/op

// BeforeActualRun
WorkloadActual   1: 524288 op, 1003056300.00 ns, 1.9132 us/op
WorkloadActual   2: 524288 op, 988186600.00 ns, 1.8848 us/op
WorkloadActual   3: 524288 op, 988770400.00 ns, 1.8859 us/op
WorkloadActual   4: 524288 op, 987070000.00 ns, 1.8827 us/op
WorkloadActual   5: 524288 op, 986693800.00 ns, 1.8820 us/op
WorkloadActual   6: 524288 op, 989700200.00 ns, 1.8877 us/op
WorkloadActual   7: 524288 op, 987673600.00 ns, 1.8838 us/op
WorkloadActual   8: 524288 op, 989048200.00 ns, 1.8865 us/op
WorkloadActual   9: 524288 op, 988546100.00 ns, 1.8855 us/op
WorkloadActual  10: 524288 op, 987565700.00 ns, 1.8836 us/op
WorkloadActual  11: 524288 op, 986974000.00 ns, 1.8825 us/op
WorkloadActual  12: 524288 op, 992457300.00 ns, 1.8930 us/op
WorkloadActual  13: 524288 op, 988245400.00 ns, 1.8849 us/op
WorkloadActual  14: 524288 op, 992797100.00 ns, 1.8936 us/op
WorkloadActual  15: 524288 op, 1003449800.00 ns, 1.9139 us/op

// AfterActualRun
WorkloadResult   1: 524288 op, 987099100.00 ns, 1.8827 us/op
