// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\602af4ff-36d4-4793-9795-fb902ba1af20
// command took 1.47s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\602af4ff-36d4-4793-9795-fb902ba1af20
// command took 2.55s and exited with 0
// ***** Done, took 00:00:04 (4.26 sec)   *****
// Found 4 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob
//   ContainsListInteger.ForLoopContains: DefaultJob
//   ContainsListInteger.ForEachContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "602af4ff-36d4-4793-9795-fb902ba1af20.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\602af4ff-36d4-4793-9795-fb902ba1af20\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 300800.00 ns, 300.8000 us/op
WorkloadJitting  1: 1 op, 1118300.00 ns, 1.1183 ms/op

OverheadJitting  2: 16 op, 247900.00 ns, 15.4938 us/op
WorkloadJitting  2: 16 op, 278200.00 ns, 17.3875 us/op

WorkloadPilot    1: 16 op, 39700.00 ns, 2.4813 us/op
WorkloadPilot    2: 32 op, 79000.00 ns, 2.4688 us/op
WorkloadPilot    3: 64 op, 158200.00 ns, 2.4719 us/op
WorkloadPilot    4: 128 op, 311400.00 ns, 2.4328 us/op
WorkloadPilot    5: 256 op, 614100.00 ns, 2.3988 us/op
WorkloadPilot    6: 512 op, 1227100.00 ns, 2.3967 us/op
WorkloadPilot    7: 1024 op, 2448000.00 ns, 2.3906 us/op
WorkloadPilot    8: 2048 op, 4912800.00 ns, 2.3988 us/op
WorkloadPilot    9: 4096 op, 9858200.00 ns, 2.4068 us/op
WorkloadPilot   10: 8192 op, 19781100.00 ns, 2.4147 us/op
WorkloadPilot   11: 16384 op, 39520900.00 ns, 2.4122 us/op
WorkloadPilot   12: 32768 op, 79030000.00 ns, 2.4118 us/op
WorkloadPilot   13: 65536 op, 156283600.00 ns, 2.3847 us/op
WorkloadPilot   14: 131072 op, 300236500.00 ns, 2.2906 us/op
WorkloadPilot   15: 262144 op, 598148500.00 ns, 2.2818 us/op

OverheadWarmup   1: 262144 op, 547600.00 ns, 2.0889 ns/op
OverheadWarmup   2: 262144 op, 543900.00 ns, 2.0748 ns/op
OverheadWarmup   3: 262144 op, 542100.00 ns, 2.0679 ns/op
OverheadWarmup   4: 262144 op, 585600.00 ns, 2.2339 ns/op
OverheadWarmup   5: 262144 op, 733300.00 ns, 2.7973 ns/op
OverheadWarmup   6: 262144 op, 541500.00 ns, 2.0657 ns/op
OverheadWarmup   7: 262144 op, 541300.00 ns, 2.0649 ns/op
OverheadWarmup   8: 262144 op, 543400.00 ns, 2.0729 ns/op
OverheadWarmup   9: 262144 op, 543400.00 ns, 2.0729 ns/op

OverheadActual   1: 262144 op, 544700.00 ns, 2.0779 ns/op
OverheadActual   2: 262144 op, 545300.00 ns, 2.0802 ns/op
OverheadActual   3: 262144 op, 542800.00 ns, 2.0706 ns/op
OverheadActual   4: 262144 op, 541400.00 ns, 2.0653 ns/op
OverheadActual   5: 262144 op, 550900.00 ns, 2.1015 ns/op
OverheadActual   6: 262144 op, 547200.00 ns, 2.0874 ns/op
OverheadActual   7: 262144 op, 546500.00 ns, 2.0847 ns/op
OverheadActual   8: 262144 op, 547200.00 ns, 2.0874 ns/op
OverheadActual   9: 262144 op, 543300.00 ns, 2.0725 ns/op
OverheadActual  10: 262144 op, 543300.00 ns, 2.0725 ns/op
OverheadActual  11: 262144 op, 541400.00 ns, 2.0653 ns/op
OverheadActual  12: 262144 op, 543400.00 ns, 2.0729 ns/op
OverheadActual  13: 262144 op, 542700.00 ns, 2.0702 ns/op
OverheadActual  14: 262144 op, 548300.00 ns, 2.0916 ns/op
OverheadActual  15: 262144 op, 543900.00 ns, 2.0748 ns/op

WorkloadWarmup   1: 262144 op, 597114600.00 ns, 2.2778 us/op
WorkloadWarmup   2: 262144 op, 599505600.00 ns, 2.2869 us/op
WorkloadWarmup   3: 262144 op, 593245800.00 ns, 2.2631 us/op
WorkloadWarmup   4: 262144 op, 593105200.00 ns, 2.2625 us/op
WorkloadWarmup   5: 262144 op, 595516200.00 ns, 2.2717 us/op
WorkloadWarmup   6: 262144 op, 593465800.00 ns, 2.2639 us/op

// BeforeActualRun
WorkloadActual   1: 262144 op, 592846400.00 ns, 2.2615 us/op
WorkloadActual   2: 262144 op, 593143600.00 ns, 2.2627 us/op
WorkloadActual   3: 262144 op, 592261400.00 ns, 2.2593 us/op
WorkloadActual   4: 262144 op, 599419900.00 ns, 2.2866 us/op
WorkloadActual   5: 262144 op, 592954400.00 ns, 2.2619 us/op
WorkloadActual   6: 262144 op, 592918300.00 ns, 2.2618 us/op
WorkloadActual   7: 262144 op, 592462300.00 ns, 2.2601 us/op
WorkloadActual   8: 262144 op, 591227000.00 ns, 2.2554 us/op
WorkloadActual   9: 262144 op, 592489400.00 ns, 2.2602 us/op
WorkloadActual  10: 262144 op, 604758500.00 ns, 2.3070 us/op
WorkloadActual  11: 262144 op, 591846300.00 ns, 2.2577 us/op
WorkloadActual  12: 262144 op, 591679200.00 ns, 2.2571 us/op
WorkloadActual  13: 262144 op, 590897300.00 ns, 2.2541 us/op
WorkloadActual  14: 262144 op, 591522400.00 ns, 2.2565 us/op
WorkloadActual  15: 262144 op, 591802000.00 ns, 2.2575 us/op

// AfterActualRun
WorkloadResult   1: 262144 op, 592302500.00 ns, 2.2595 us/op
WorkloadResult   2: 262144 op, 592599700.00 ns, 2.2606 us/op
WorkloadResult   3: 262144 op, 591717500.00 ns, 2.2572 us/op
WorkloadResult   4: 262144 op, 592410500.00 ns, 2.2599 us/op
WorkloadResult   5: 262144 op, 592374400.00 ns, 2.2597 us/op
WorkloadResult   6: 262144 op, 591918400.00 ns, 2.2580 us/op
WorkloadResult   7: 262144 op, 590683100.00 ns, 2.2533 us/op
WorkloadResult   8: 262144 op, 591945500.00 ns, 2.2581 us/op
WorkloadResult   9: 262144 op, 591302400.00 ns, 2.2556 us/op
WorkloadResult  10: 262144 op, 591135300.00 ns, 2.2550 us/op
WorkloadResult  11: 262144 op, 590353400.00 ns, 2.2520 us/op
WorkloadResult  12: 262144 op, 590978500.00 ns, 2.2544 us/op
WorkloadResult  13: 262144 op, 591258100.00 ns, 2.2555 us/op
GC:  0 0 0 0 0

// AfterAll

Mean = 2.2568 us, StdErr = 0.0008 us (0.03%); N = 13, StdDev = 0.0027 us
Min = 2.2520 us, Q1 = 2.2547 us, Median = 2.2572 us, Q3 = 2.2596 us, Max = 2.2606 us
IQR = 0.0049 us, LowerFence = 2.2474 us, UpperFence = 2.2669 us
ConfidenceInterval = [2.2535 us; 2.2601 us] (CI 99.9%), Margin = 0.0033 us (0.15% of Mean)
Skewness = -0.2, Kurtosis = 1.58, MValue = 2

// **************************
// Benchmark: ContainsListInteger.PLinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "602af4ff-36d4-4793-9795-fb902ba1af20.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.PLinqContains" --job "Default" --benchmarkId 1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\602af4ff-36d4-4793-9795-fb902ba1af20\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 297900.00 ns, 297.9000 us/op
WorkloadJitting  1: 1 op, 19601600.00 ns, 19.6016 ms/op

OverheadJitting  2: 16 op, 246800.00 ns, 15.4250 us/op
WorkloadJitting  2: 16 op, 786300.00 ns, 49.1437 us/op

WorkloadPilot    1: 16 op, 503200.00 ns, 31.4500 us/op
WorkloadPilot    2: 32 op, 925200.00 ns, 28.9125 us/op
WorkloadPilot    3: 64 op, 1952300.00 ns, 30.5047 us/op
WorkloadPilot    4: 128 op, 3422300.00 ns, 26.7367 us/op
WorkloadPilot    5: 256 op, 6404000.00 ns, 25.0156 us/op
WorkloadPilot    6: 512 op, 13602700.00 ns, 26.5678 us/op
WorkloadPilot    7: 1024 op, 25533100.00 ns, 24.9347 us/op
WorkloadPilot    8: 2048 op, 49269500.00 ns, 24.0574 us/op
WorkloadPilot    9: 4096 op, 103883500.00 ns, 25.3622 us/op
WorkloadPilot   10: 8192 op, 190289600.00 ns, 23.2287 us/op
WorkloadPilot   11: 16384 op, 361608200.00 ns, 22.0708 us/op
WorkloadPilot   12: 32768 op, 698456900.00 ns, 21.3152 us/op

OverheadWarmup   1: 32768 op, 71000.00 ns, 2.1667 ns/op
OverheadWarmup   2: 32768 op, 70300.00 ns, 2.1454 ns/op
OverheadWarmup   3: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadWarmup   4: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadWarmup   5: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadWarmup   6: 32768 op, 71300.00 ns, 2.1759 ns/op
OverheadWarmup   7: 32768 op, 70100.00 ns, 2.1393 ns/op
OverheadWarmup   8: 32768 op, 67700.00 ns, 2.0660 ns/op
OverheadWarmup   9: 32768 op, 67900.00 ns, 2.0721 ns/op

OverheadActual   1: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadActual   2: 32768 op, 85000.00 ns, 2.5940 ns/op
OverheadActual   3: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadActual   4: 32768 op, 70900.00 ns, 2.1637 ns/op
OverheadActual   5: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadActual   6: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual   7: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual   8: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadActual   9: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadActual  10: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual  11: 32768 op, 68000.00 ns, 2.0752 ns/op
OverheadActual  12: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual  13: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual  14: 32768 op, 67900.00 ns, 2.0721 ns/op
OverheadActual  15: 32768 op, 67900.00 ns, 2.0721 ns/op

WorkloadWarmup   1: 32768 op, 681761800.00 ns, 20.8057 us/op
WorkloadWarmup   2: 32768 op, 677410600.00 ns, 20.6729 us/op
WorkloadWarmup   3: 32768 op, 674039000.00 ns, 20.5700 us/op
WorkloadWarmup   4: 32768 op, 671180700.00 ns, 20.4828 us/op
WorkloadWarmup   5: 32768 op, 673522800.00 ns, 20.5543 us/op
WorkloadWarmup   6: 32768 op, 673863800.00 ns, 20.5647 us/op
WorkloadWarmup   7: 32768 op, 671932100.00 ns, 20.5057 us/op
WorkloadWarmup   8: 32768 op, 687293900.00 ns, 20.9745 us/op
WorkloadWarmup   9: 32768 op, 679315100.00 ns, 20.7311 us/op

// BeforeActualRun
WorkloadActual   1: 32768 op, 670820700.00 ns, 20.4718 us/op
WorkloadActual   2: 32768 op, 667857200.00 ns, 20.3814 us/op
WorkloadActual   3: 32768 op, 682461200.00 ns, 20.8271 us/op
WorkloadActual   4: 32768 op, 671884000.00 ns, 20.5043 us/op
WorkloadActual   5: 32768 op, 681935100.00 ns, 20.8110 us/op
WorkloadActual   6: 32768 op, 680865300.00 ns, 20.7784 us/op
WorkloadActual   7: 32768 op, 680762000.00 ns, 20.7752 us/op
WorkloadActual   8: 32768 op, 674914000.00 ns, 20.5967 us/op
WorkloadActual   9: 32768 op, 678952000.00 ns, 20.7200 us/op
WorkloadActual  10: 32768 op, 667581400.00 ns, 20.3730 us/op
WorkloadActual  11: 32768 op, 679521500.00 ns, 20.7374 us/op
WorkloadActual  12: 32768 op, 668290800.00 ns, 20.3946 us/op
WorkloadActual  13: 32768 op, 664391700.00 ns, 20.2756 us/op
WorkloadActual  14: 32768 op, 669859700.00 ns, 20.4425 us/op
WorkloadActual  15: 32768 op, 672452600.00 ns, 20.5216 us/op

// AfterActualRun
WorkloadResult   1: 32768 op, 670752700.00 ns, 20.4697 us/op
WorkloadResult   2: 32768 op, 667789200.00 ns, 20.3793 us/op
WorkloadResult   3: 32768 op, 682393200.00 ns, 20.8250 us/op
