// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\91eee403-23d4-4525-9db2-39463259b0ba
// command took 1.47s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\91eee403-23d4-4525-9db2-39463259b0ba
// command took 2.54s and exited with 0
// ***** Done, took 00:00:04 (4.25 sec)   *****
// Found 4 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob
//   ContainsListInteger.ForLoopContains: DefaultJob
//   ContainsListInteger.ForEachContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "91eee403-23d4-4525-9db2-39463259b0ba.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\91eee403-23d4-4525-9db2-39463259b0ba\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 290000.00 ns, 290.0000 us/op
WorkloadJitting  1: 1 op, 1091100.00 ns, 1.0911 ms/op

OverheadJitting  2: 16 op, 245200.00 ns, 15.3250 us/op
WorkloadJitting  2: 16 op, 287800.00 ns, 17.9875 us/op

WorkloadPilot    1: 16 op, 25800.00 ns, 1.6125 us/op
WorkloadPilot    2: 32 op, 39700.00 ns, 1.2406 us/op
WorkloadPilot    3: 64 op, 84000.00 ns, 1.3125 us/op
WorkloadPilot    4: 128 op, 158300.00 ns, 1.2367 us/op
WorkloadPilot    5: 256 op, 307600.00 ns, 1.2016 us/op
WorkloadPilot    6: 512 op, 621900.00 ns, 1.2146 us/op
WorkloadPilot    7: 1024 op, 1244100.00 ns, 1.2149 us/op
WorkloadPilot    8: 2048 op, 2473300.00 ns, 1.2077 us/op
WorkloadPilot    9: 4096 op, 5106300.00 ns, 1.2467 us/op
WorkloadPilot   10: 8192 op, 9997800.00 ns, 1.2204 us/op
WorkloadPilot   11: 16384 op, 19973000.00 ns, 1.2191 us/op
WorkloadPilot   12: 32768 op, 39933800.00 ns, 1.2187 us/op
WorkloadPilot   13: 65536 op, 80587300.00 ns, 1.2297 us/op
WorkloadPilot   14: 131072 op, 155785000.00 ns, 1.1885 us/op
WorkloadPilot   15: 262144 op, 296512700.00 ns, 1.1311 us/op
WorkloadPilot   16: 524288 op, 592997400.00 ns, 1.1311 us/op

OverheadWarmup   1: 524288 op, 1086700.00 ns, 2.0727 ns/op
OverheadWarmup   2: 524288 op, 1083500.00 ns, 2.0666 ns/op
OverheadWarmup   3: 524288 op, 1133900.00 ns, 2.1627 ns/op
OverheadWarmup   4: 524288 op, 1085400.00 ns, 2.0702 ns/op
