// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\063820e2-b3ca-42b3-91d3-7814fb63bee5
// command took 1.45s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\063820e2-b3ca-42b3-91d3-7814fb63bee5
// command took 2.55s and exited with 0
// ***** Done, took 00:00:04 (4.24 sec)   *****
// Found 4 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob
//   ContainsListInteger.ForLoopContains: DefaultJob
//   ContainsListInteger.ForEachContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "063820e2-b3ca-42b3-91d3-7814fb63bee5.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\063820e2-b3ca-42b3-91d3-7814fb63bee5\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 301400.00 ns, 301.4000 us/op
WorkloadJitting  1: 1 op, 1026100.00 ns, 1.0261 ms/op

OverheadJitting  2: 16 op, 245100.00 ns, 15.3187 us/op
WorkloadJitting  2: 16 op, 398600.00 ns, 24.9125 us/op

WorkloadPilot    1: 16 op, 21400.00 ns, 1.3375 us/op
WorkloadPilot    2: 32 op, 49300.00 ns, 1.5406 us/op
WorkloadPilot    3: 64 op, 81600.00 ns, 1.2750 us/op
WorkloadPilot    4: 128 op, 154300.00 ns, 1.2055 us/op
WorkloadPilot    5: 256 op, 304300.00 ns, 1.1887 us/op
WorkloadPilot    6: 512 op, 612300.00 ns, 1.1959 us/op
WorkloadPilot    7: 1024 op, 1340500.00 ns, 1.3091 us/op
WorkloadPilot    8: 2048 op, 2472300.00 ns, 1.2072 us/op
WorkloadPilot    9: 4096 op, 4955600.00 ns, 1.2099 us/op
WorkloadPilot   10: 8192 op, 10010200.00 ns, 1.2219 us/op
WorkloadPilot   11: 16384 op, 20085100.00 ns, 1.2259 us/op
WorkloadPilot   12: 32768 op, 39782600.00 ns, 1.2141 us/op
WorkloadPilot   13: 65536 op, 79892600.00 ns, 1.2191 us/op
WorkloadPilot   14: 131072 op, 162737100.00 ns, 1.2416 us/op
WorkloadPilot   15: 262144 op, 298178800.00 ns, 1.1375 us/op
WorkloadPilot   16: 524288 op, 598375000.00 ns, 1.1413 us/op

OverheadWarmup   1: 524288 op, 1088400.00 ns, 2.0760 ns/op
OverheadWarmup   2: 524288 op, 1088900.00 ns, 2.0769 ns/op
OverheadWarmup   3: 524288 op, 1093700.00 ns, 2.0861 ns/op
OverheadWarmup   4: 524288 op, 1097000.00 ns, 2.0924 ns/op
OverheadWarmup   5: 524288 op, 1089300.00 ns, 2.0777 ns/op
