// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\d6e14d54-6e4a-425f-a93b-1625c72c5c2b
// command took 1.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\d6e14d54-6e4a-425f-a93b-1625c72c5c2b
// command took 2.55s and exited with 0
// ***** Done, took 00:00:04 (4.25 sec)   *****
// Found 4 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob
//   ContainsListInteger.ForLoopContains: DefaultJob
//   ContainsListInteger.ForEachContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d6e14d54-6e4a-425f-a93b-1625c72c5c2b.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\d6e14d54-6e4a-425f-a93b-1625c72c5c2b\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 315300.00 ns, 315.3000 us/op
WorkloadJitting  1: 1 op, 1400100.00 ns, 1.4001 ms/op

OverheadJitting  2: 16 op, 258200.00 ns, 16.1375 us/op
WorkloadJitting  2: 16 op, 492000.00 ns, 30.7500 us/op

WorkloadPilot    1: 16 op, 8800.00 ns, 550.0000 ns/op
WorkloadPilot    2: 32 op, 10800.00 ns, 337.5000 ns/op
WorkloadPilot    3: 64 op, 34100.00 ns, 532.8125 ns/op
WorkloadPilot    4: 128 op, 40200.00 ns, 314.0625 ns/op
WorkloadPilot    5: 256 op, 78100.00 ns, 305.0781 ns/op
WorkloadPilot    6: 512 op, 161900.00 ns, 316.2109 ns/op
WorkloadPilot    7: 1024 op, 352300.00 ns, 344.0430 ns/op
WorkloadPilot    8: 2048 op, 689800.00 ns, 336.8164 ns/op
WorkloadPilot    9: 4096 op, 1323900.00 ns, 323.2178 ns/op
WorkloadPilot   10: 8192 op, 2595400.00 ns, 316.8213 ns/op
WorkloadPilot   11: 16384 op, 5203500.00 ns, 317.5964 ns/op
WorkloadPilot   12: 32768 op, 10524400.00 ns, 321.1792 ns/op
WorkloadPilot   13: 65536 op, 20946200.00 ns, 319.6136 ns/op
WorkloadPilot   14: 131072 op, 40591400.00 ns, 309.6878 ns/op
WorkloadPilot   15: 262144 op, 81307500.00 ns, 310.1635 ns/op
WorkloadPilot   16: 524288 op, 158430600.00 ns, 302.1824 ns/op
WorkloadPilot   17: 1048576 op, 297342900.00 ns, 283.5683 ns/op
WorkloadPilot   18: 2097152 op, 596508400.00 ns, 284.4374 ns/op

OverheadWarmup   1: 2097152 op, 4344600.00 ns, 2.0717 ns/op
OverheadWarmup   2: 2097152 op, 4361500.00 ns, 2.0797 ns/op
