// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\713d54b1-093a-4c32-8a5b-8846b334dda2
// command took 1.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\713d54b1-093a-4c32-8a5b-8846b334dda2
// command took 2.52s and exited with 0
// ***** Done, took 00:00:04 (4.23 sec)   *****
// Found 4 benchmarks:
//   ContainsListInteger.LinqContains: DefaultJob
//   ContainsListInteger.PLinqContains: DefaultJob
//   ContainsListInteger.ForLoopContains: DefaultJob
//   ContainsListInteger.ForEachContains: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ContainsListInteger.LinqContains: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "713d54b1-093a-4c32-8a5b-8846b334dda2.dll" --benchmarkName "ListBenchmarks.ContainsListInteger.LinqContains" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\713d54b1-093a-4c32-8a5b-8846b334dda2\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 310600.00 ns, 310.6000 us/op
WorkloadJitting  1: 1 op, 1238200.00 ns, 1.2382 ms/op

OverheadJitting  2: 16 op, 242100.00 ns, 15.1312 us/op
WorkloadJitting  2: 16 op, 260600.00 ns, 16.2875 us/op

WorkloadPilot    1: 16 op, 22000.00 ns, 1.3750 us/op
WorkloadPilot    2: 32 op, 42000.00 ns, 1.3125 us/op
WorkloadPilot    3: 64 op, 93300.00 ns, 1.4578 us/op
WorkloadPilot    4: 128 op, 166000.00 ns, 1.2969 us/op
WorkloadPilot    5: 256 op, 341400.00 ns, 1.3336 us/op
WorkloadPilot    6: 512 op, 668100.00 ns, 1.3049 us/op
WorkloadPilot    7: 1024 op, 1314700.00 ns, 1.2839 us/op
WorkloadPilot    8: 2048 op, 2634400.00 ns, 1.2863 us/op
WorkloadPilot    9: 4096 op, 5317300.00 ns, 1.2982 us/op
WorkloadPilot   10: 8192 op, 10645800.00 ns, 1.2995 us/op
WorkloadPilot   11: 16384 op, 21413500.00 ns, 1.3070 us/op
WorkloadPilot   12: 32768 op, 42753400.00 ns, 1.3047 us/op
WorkloadPilot   13: 65536 op, 85099600.00 ns, 1.2985 us/op
WorkloadPilot   14: 131072 op, 157533400.00 ns, 1.2019 us/op
WorkloadPilot   15: 262144 op, 315607300.00 ns, 1.2039 us/op
WorkloadPilot   16: 524288 op, 632867700.00 ns, 1.2071 us/op

OverheadWarmup   1: 524288 op, 1086200.00 ns, 2.0718 ns/op
OverheadWarmup   2: 524288 op, 1086000.00 ns, 2.0714 ns/op
OverheadWarmup   3: 524288 op, 1083900.00 ns, 2.0674 ns/op
OverheadWarmup   4: 524288 op, 1088500.00 ns, 2.0761 ns/op
