// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\f58b0027-be9b-477f-be27-88827cdadce0
// command took 1.38s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\f58b0027-be9b-477f-be27-88827cdadce0
// command took 2.58s and exited with 0
// ***** Done, took 00:00:04 (4.08 sec)   *****
// Found 3 benchmarks:
//   IterateList.LinqIterate: DefaultJob
//   IterateList.ForLoopIterate: DefaultJob
//   IterateList.ForEachIterate: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: IterateList.LinqIterate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f58b0027-be9b-477f-be27-88827cdadce0.dll" --benchmarkName "ListBenchmarks.IterateList.LinqIterate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\f58b0027-be9b-477f-be27-88827cdadce0\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 278400.00 ns, 278.4000 us/op
WorkloadJitting  1: 1 op, 607200.00 ns, 607.2000 us/op

OverheadJitting  2: 16 op, 242600.00 ns, 15.1625 us/op
WorkloadJitting  2: 16 op, 235800.00 ns, 14.7375 us/op

WorkloadPilot    1: 16 op, 1400.00 ns, 87.5000 ns/op
WorkloadPilot    2: 32 op, 900.00 ns, 28.1250 ns/op
WorkloadPilot    3: 64 op, 900.00 ns, 14.0625 ns/op
WorkloadPilot    4: 128 op, 1300.00 ns, 10.1562 ns/op
WorkloadPilot    5: 256 op, 2100.00 ns, 8.2031 ns/op
WorkloadPilot    6: 512 op, 4200.00 ns, 8.2031 ns/op
WorkloadPilot    7: 1024 op, 8100.00 ns, 7.9102 ns/op
WorkloadPilot    8: 2048 op, 15600.00 ns, 7.6172 ns/op
WorkloadPilot    9: 4096 op, 30800.00 ns, 7.5195 ns/op
WorkloadPilot   10: 8192 op, 61200.00 ns, 7.4707 ns/op
WorkloadPilot   11: 16384 op, 123400.00 ns, 7.5317 ns/op
WorkloadPilot   12: 32768 op, 243700.00 ns, 7.4371 ns/op
WorkloadPilot   13: 65536 op, 448500.00 ns, 6.8436 ns/op
WorkloadPilot   14: 131072 op, 900800.00 ns, 6.8726 ns/op
WorkloadPilot   15: 262144 op, 1781700.00 ns, 6.7966 ns/op
WorkloadPilot   16: 524288 op, 3953600.00 ns, 7.5409 ns/op
WorkloadPilot   17: 1048576 op, 7829500.00 ns, 7.4668 ns/op
WorkloadPilot   18: 2097152 op, 15747300.00 ns, 7.5089 ns/op
WorkloadPilot   19: 4194304 op, 31060600.00 ns, 7.4054 ns/op
WorkloadPilot   20: 8388608 op, 58647200.00 ns, 6.9913 ns/op
WorkloadPilot   21: 16777216 op, 120808400.00 ns, 7.2007 ns/op
WorkloadPilot   22: 33554432 op, 242180900.00 ns, 7.2176 ns/op
WorkloadPilot   23: 67108864 op, 440897800.00 ns, 6.5699 ns/op
WorkloadPilot   24: 134217728 op, 899625200.00 ns, 6.7027 ns/op

OverheadWarmup   1: 134217728 op, 271479600.00 ns, 2.0227 ns/op
OverheadWarmup   2: 134217728 op, 247927400.00 ns, 1.8472 ns/op
OverheadWarmup   3: 134217728 op, 248031900.00 ns, 1.8480 ns/op
OverheadWarmup   4: 134217728 op, 250146800.00 ns, 1.8637 ns/op
OverheadWarmup   5: 134217728 op, 246343500.00 ns, 1.8354 ns/op
OverheadWarmup   6: 134217728 op, 244381000.00 ns, 1.8208 ns/op
OverheadWarmup   7: 134217728 op, 247387100.00 ns, 1.8432 ns/op
OverheadWarmup   8: 134217728 op, 248646900.00 ns, 1.8526 ns/op
OverheadWarmup   9: 134217728 op, 247556800.00 ns, 1.8444 ns/op

OverheadActual   1: 134217728 op, 248866200.00 ns, 1.8542 ns/op
OverheadActual   2: 134217728 op, 248432300.00 ns, 1.8510 ns/op
OverheadActual   3: 134217728 op, 247506700.00 ns, 1.8441 ns/op
OverheadActual   4: 134217728 op, 250272900.00 ns, 1.8647 ns/op
OverheadActual   5: 134217728 op, 247899800.00 ns, 1.8470 ns/op
OverheadActual   6: 134217728 op, 248337600.00 ns, 1.8503 ns/op
OverheadActual   7: 134217728 op, 244933600.00 ns, 1.8249 ns/op
OverheadActual   8: 134217728 op, 245836200.00 ns, 1.8316 ns/op
OverheadActual   9: 134217728 op, 247377200.00 ns, 1.8431 ns/op
OverheadActual  10: 134217728 op, 247162900.00 ns, 1.8415 ns/op
OverheadActual  11: 134217728 op, 246422000.00 ns, 1.8360 ns/op
OverheadActual  12: 134217728 op, 248107400.00 ns, 1.8485 ns/op
OverheadActual  13: 134217728 op, 252122000.00 ns, 1.8785 ns/op
OverheadActual  14: 134217728 op, 244363600.00 ns, 1.8207 ns/op
OverheadActual  15: 134217728 op, 246555100.00 ns, 1.8370 ns/op

WorkloadWarmup   1: 134217728 op, 906829200.00 ns, 6.7564 ns/op
WorkloadWarmup   2: 134217728 op, 938695000.00 ns, 6.9938 ns/op
WorkloadWarmup   3: 134217728 op, 961070400.00 ns, 7.1605 ns/op
WorkloadWarmup   4: 134217728 op, 921918000.00 ns, 6.8688 ns/op
WorkloadWarmup   5: 134217728 op, 956354300.00 ns, 7.1254 ns/op
WorkloadWarmup   6: 134217728 op, 961963300.00 ns, 7.1672 ns/op
WorkloadWarmup   7: 134217728 op, 956793200.00 ns, 7.1287 ns/op

// BeforeActualRun
WorkloadActual   1: 134217728 op, 878463400.00 ns, 6.5451 ns/op
WorkloadActual   2: 134217728 op, 953280000.00 ns, 7.1025 ns/op
WorkloadActual   3: 134217728 op, 951194800.00 ns, 7.0870 ns/op
WorkloadActual   4: 134217728 op, 874614700.00 ns, 6.5164 ns/op
WorkloadActual   5: 134217728 op, 878797300.00 ns, 6.5476 ns/op
WorkloadActual   6: 134217728 op, 876228700.00 ns, 6.5284 ns/op
WorkloadActual   7: 134217728 op, 875536300.00 ns, 6.5233 ns/op
WorkloadActual   8: 134217728 op, 881346400.00 ns, 6.5665 ns/op
WorkloadActual   9: 134217728 op, 899443500.00 ns, 6.7014 ns/op
WorkloadActual  10: 134217728 op, 880397000.00 ns, 6.5595 ns/op
WorkloadActual  11: 134217728 op, 922090500.00 ns, 6.8701 ns/op
WorkloadActual  12: 134217728 op, 881675900.00 ns, 6.5690 ns/op
WorkloadActual  13: 134217728 op, 956425400.00 ns, 7.1259 ns/op
WorkloadActual  14: 134217728 op, 895167600.00 ns, 6.6695 ns/op
WorkloadActual  15: 134217728 op, 855809700.00 ns, 6.3763 ns/op
WorkloadActual  16: 134217728 op, 891386200.00 ns, 6.6413 ns/op
WorkloadActual  17: 134217728 op, 889837900.00 ns, 6.6298 ns/op

// AfterActualRun
