// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\51215636-83f4-4b4d-9c16-e6d1e348dc4d
// command took 1.37s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\51215636-83f4-4b4d-9c16-e6d1e348dc4d
// command took 2.57s and exited with 0
// ***** Done, took 00:00:04 (4.06 sec)   *****
// Found 3 benchmarks:
//   IterateList.LinqIterate: DefaultJob
//   IterateList.ForLoopIterate: DefaultJob
//   IterateList.ForEachIterate: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: IterateList.LinqIterate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "51215636-83f4-4b4d-9c16-e6d1e348dc4d.dll" --benchmarkName "ListBenchmarks.IterateList.LinqIterate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\51215636-83f4-4b4d-9c16-e6d1e348dc4d\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 312900.00 ns, 312.9000 us/op
WorkloadJitting  1: 1 op, 10712000.00 ns, 10.7120 ms/op

OverheadJitting  2: 16 op, 262600.00 ns, 16.4125 us/op
WorkloadJitting  2: 16 op, 159157300.00 ns, 9.9473 ms/op

WorkloadPilot    1: 16 op, 155354100.00 ns, 9.7096 ms/op
WorkloadPilot    2: 32 op, 275509800.00 ns, 8.6097 ms/op
WorkloadPilot    3: 64 op, 546717500.00 ns, 8.5425 ms/op

OverheadWarmup   1: 64 op, 3200.00 ns, 50.0000 ns/op
OverheadWarmup   2: 64 op, 500.00 ns, 7.8125 ns/op
OverheadWarmup   3: 64 op, 500.00 ns, 7.8125 ns/op
OverheadWarmup   4: 64 op, 400.00 ns, 6.2500 ns/op
OverheadWarmup   5: 64 op, 400.00 ns, 6.2500 ns/op
OverheadWarmup   6: 64 op, 400.00 ns, 6.2500 ns/op

OverheadActual   1: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual   2: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual   3: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   4: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   5: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   6: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   7: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual   8: 64 op, 300.00 ns, 4.6875 ns/op
OverheadActual   9: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual  10: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  11: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual  12: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  13: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  14: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  15: 64 op, 500.00 ns, 7.8125 ns/op
OverheadActual  16: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  17: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  18: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  19: 64 op, 400.00 ns, 6.2500 ns/op
OverheadActual  20: 64 op, 400.00 ns, 6.2500 ns/op

WorkloadWarmup   1: 64 op, 550943300.00 ns, 8.6085 ms/op
WorkloadWarmup   2: 64 op, 547744500.00 ns, 8.5585 ms/op
WorkloadWarmup   3: 64 op, 547658900.00 ns, 8.5572 ms/op
WorkloadWarmup   4: 64 op, 547582800.00 ns, 8.5560 ms/op
WorkloadWarmup   5: 64 op, 547045600.00 ns, 8.5476 ms/op
WorkloadWarmup   6: 64 op, 548335400.00 ns, 8.5677 ms/op
WorkloadWarmup   7: 64 op, 583298100.00 ns, 9.1140 ms/op
WorkloadWarmup   8: 64 op, 583514000.00 ns, 9.1174 ms/op
WorkloadWarmup   9: 64 op, 574993800.00 ns, 8.9843 ms/op
WorkloadWarmup  10: 64 op, 586383600.00 ns, 9.1622 ms/op
WorkloadWarmup  11: 64 op, 585067500.00 ns, 9.1417 ms/op

// BeforeActualRun
WorkloadActual   1: 64 op, 555670200.00 ns, 8.6823 ms/op
WorkloadActual   2: 64 op, 610692100.00 ns, 9.5421 ms/op
WorkloadActual   3: 64 op, 567813400.00 ns, 8.8721 ms/op
WorkloadActual   4: 64 op, 582213200.00 ns, 9.0971 ms/op
WorkloadActual   5: 64 op, 551780400.00 ns, 8.6216 ms/op
WorkloadActual   6: 64 op, 586495900.00 ns, 9.1640 ms/op
WorkloadActual   7: 64 op, 566427100.00 ns, 8.8504 ms/op
WorkloadActual   8: 64 op, 550405500.00 ns, 8.6001 ms/op
WorkloadActual   9: 64 op, 547539000.00 ns, 8.5553 ms/op
WorkloadActual  10: 64 op, 549538800.00 ns, 8.5865 ms/op
WorkloadActual  11: 64 op, 557345000.00 ns, 8.7085 ms/op
WorkloadActual  12: 64 op, 557066900.00 ns, 8.7042 ms/op
