// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\65111cf3-c51c-4a7f-9877-dda4b46d9f79
// command took 1.46s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\65111cf3-c51c-4a7f-9877-dda4b46d9f79
// command took 2.53s and exited with 0
// ***** Done, took 00:00:04 (4.2 sec)   *****
// Found 3 benchmarks:
//   IterateListInteger.LinqIterate: DefaultJob
//   IterateListInteger.ForLoopIterate: DefaultJob
//   IterateListInteger.ForEachIterate: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: IterateListInteger.LinqIterate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "65111cf3-c51c-4a7f-9877-dda4b46d9f79.dll" --benchmarkName "ListBenchmarks.IterateListInteger.LinqIterate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\65111cf3-c51c-4a7f-9877-dda4b46d9f79\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 300400.00 ns, 300.4000 us/op
WorkloadJitting  1: 1 op, 2913200.00 ns, 2.9132 ms/op

OverheadJitting  2: 16 op, 257700.00 ns, 16.1062 us/op
WorkloadJitting  2: 16 op, 40348200.00 ns, 2.5218 ms/op

WorkloadPilot    1: 16 op, 40207200.00 ns, 2.5130 ms/op
WorkloadPilot    2: 32 op, 80392500.00 ns, 2.5123 ms/op
WorkloadPilot    3: 64 op, 161112200.00 ns, 2.5174 ms/op
WorkloadPilot    4: 128 op, 272211900.00 ns, 2.1267 ms/op
WorkloadPilot    5: 256 op, 534091100.00 ns, 2.0863 ms/op

OverheadWarmup   1: 256 op, 4100.00 ns, 16.0156 ns/op
OverheadWarmup   2: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   3: 256 op, 700.00 ns, 2.7344 ns/op
OverheadWarmup   4: 256 op, 700.00 ns, 2.7344 ns/op
OverheadWarmup   5: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   6: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   7: 256 op, 700.00 ns, 2.7344 ns/op

OverheadActual   1: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   2: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadActual   3: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   4: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   5: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   6: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   7: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   8: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual   9: 256 op, 700.00 ns, 2.7344 ns/op
