// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\c585bdce-691c-403d-b742-1257e727c664
// command took 1.47s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\c585bdce-691c-403d-b742-1257e727c664
// command took 2.54s and exited with 0
// ***** Done, took 00:00:04 (4.24 sec)   *****
// Found 4 benchmarks:
//   IterateListInteger.LinqIterate: DefaultJob
//   IterateListInteger.ForLoopIterate: DefaultJob
//   IterateListInteger.ForEachIterate: DefaultJob
//   IterateListInteger.ParallelLinqIterate: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: IterateListInteger.LinqIterate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c585bdce-691c-403d-b742-1257e727c664.dll" --benchmarkName "ListBenchmarks.IterateListInteger.LinqIterate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\c585bdce-691c-403d-b742-1257e727c664\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 300300.00 ns, 300.3000 us/op
WorkloadJitting  1: 1 op, 645200.00 ns, 645.2000 us/op

OverheadJitting  2: 16 op, 250500.00 ns, 15.6563 us/op
WorkloadJitting  2: 16 op, 4231400.00 ns, 264.4625 us/op

WorkloadPilot    1: 16 op, 4019700.00 ns, 251.2312 us/op
WorkloadPilot    2: 32 op, 8042600.00 ns, 251.3313 us/op
WorkloadPilot    3: 64 op, 16048400.00 ns, 250.7562 us/op
WorkloadPilot    4: 128 op, 32023700.00 ns, 250.1852 us/op
WorkloadPilot    5: 256 op, 64065000.00 ns, 250.2539 us/op
WorkloadPilot    6: 512 op, 117821600.00 ns, 230.1203 us/op
WorkloadPilot    7: 1024 op, 211624700.00 ns, 206.6647 us/op
WorkloadPilot    8: 2048 op, 423979200.00 ns, 207.0211 us/op
WorkloadPilot    9: 4096 op, 846564300.00 ns, 206.6807 us/op

OverheadWarmup   1: 4096 op, 11400.00 ns, 2.7832 ns/op
OverheadWarmup   2: 4096 op, 8800.00 ns, 2.1484 ns/op
OverheadWarmup   3: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadWarmup   4: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadWarmup   5: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadWarmup   6: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadWarmup   7: 4096 op, 8700.00 ns, 2.1240 ns/op

OverheadActual   1: 4096 op, 8800.00 ns, 2.1484 ns/op
OverheadActual   2: 4096 op, 8800.00 ns, 2.1484 ns/op
OverheadActual   3: 4096 op, 8800.00 ns, 2.1484 ns/op
OverheadActual   4: 4096 op, 8800.00 ns, 2.1484 ns/op
OverheadActual   5: 4096 op, 8800.00 ns, 2.1484 ns/op
OverheadActual   6: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual   7: 4096 op, 8600.00 ns, 2.0996 ns/op
OverheadActual   8: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual   9: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual  10: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual  11: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual  12: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual  13: 4096 op, 8700.00 ns, 2.1240 ns/op
OverheadActual  14: 4096 op, 8600.00 ns, 2.0996 ns/op
OverheadActual  15: 4096 op, 8700.00 ns, 2.1240 ns/op

WorkloadWarmup   1: 4096 op, 849468100.00 ns, 207.3897 us/op
WorkloadWarmup   2: 4096 op, 856790900.00 ns, 209.1775 us/op
WorkloadWarmup   3: 4096 op, 847114200.00 ns, 206.8150 us/op
WorkloadWarmup   4: 4096 op, 849881000.00 ns, 207.4905 us/op
WorkloadWarmup   5: 4096 op, 845921700.00 ns, 206.5239 us/op
WorkloadWarmup   6: 4096 op, 847177900.00 ns, 206.8305 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 849396100.00 ns, 207.3721 us/op
WorkloadActual   2: 4096 op, 846464800.00 ns, 206.6564 us/op
WorkloadActual   3: 4096 op, 847891700.00 ns, 207.0048 us/op
WorkloadActual   4: 4096 op, 847596200.00 ns, 206.9327 us/op
WorkloadActual   5: 4096 op, 848486300.00 ns, 207.1500 us/op
WorkloadActual   6: 4096 op, 845918000.00 ns, 206.5229 us/op
WorkloadActual   7: 4096 op, 849981800.00 ns, 207.5151 us/op
WorkloadActual   8: 4096 op, 846940700.00 ns, 206.7726 us/op
WorkloadActual   9: 4096 op, 847535100.00 ns, 206.9177 us/op
WorkloadActual  10: 4096 op, 846669800.00 ns, 206.7065 us/op
WorkloadActual  11: 4096 op, 845925300.00 ns, 206.5247 us/op
WorkloadActual  12: 4096 op, 846890300.00 ns, 206.7603 us/op
WorkloadActual  13: 4096 op, 845850300.00 ns, 206.5064 us/op
WorkloadActual  14: 4096 op, 846566200.00 ns, 206.6812 us/op
WorkloadActual  15: 4096 op, 846539400.00 ns, 206.6747 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 849387400.00 ns, 207.3700 us/op
WorkloadResult   2: 4096 op, 846456100.00 ns, 206.6543 us/op
WorkloadResult   3: 4096 op, 847883000.00 ns, 207.0027 us/op
WorkloadResult   4: 4096 op, 847587500.00 ns, 206.9305 us/op
WorkloadResult   5: 4096 op, 848477600.00 ns, 207.1479 us/op
WorkloadResult   6: 4096 op, 845909300.00 ns, 206.5208 us/op
WorkloadResult   7: 4096 op, 849973100.00 ns, 207.5130 us/op
WorkloadResult   8: 4096 op, 846932000.00 ns, 206.7705 us/op
WorkloadResult   9: 4096 op, 847526400.00 ns, 206.9156 us/op
WorkloadResult  10: 4096 op, 846661100.00 ns, 206.7044 us/op
WorkloadResult  11: 4096 op, 845916600.00 ns, 206.5226 us/op
WorkloadResult  12: 4096 op, 846881600.00 ns, 206.7582 us/op
WorkloadResult  13: 4096 op, 845841600.00 ns, 206.5043 us/op
WorkloadResult  14: 4096 op, 846557500.00 ns, 206.6791 us/op
WorkloadResult  15: 4096 op, 846530700.00 ns, 206.6725 us/op
GC:  0 0 0 0 0

// AfterAll

Mean = 206.8444 us, StdErr = 0.0787 us (0.04%); N = 15, StdDev = 0.3050 us
Min = 206.5043 us, Q1 = 206.6543 us, Median = 206.7582 us, Q3 = 207.0027 us, Max = 207.5130 us
IQR = 0.3484 us, LowerFence = 206.1318 us, UpperFence = 207.5252 us
ConfidenceInterval = [206.5184 us; 207.1705 us] (CI 99.9%), Margin = 0.3261 us (0.16% of Mean)
Skewness = 0.82, Kurtosis = 2.49, MValue = 2

// **************************
// Benchmark: IterateListInteger.ForLoopIterate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c585bdce-691c-403d-b742-1257e727c664.dll" --benchmarkName "ListBenchmarks.IterateListInteger.ForLoopIterate" --job "Default" --benchmarkId 1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\c585bdce-691c-403d-b742-1257e727c664\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 301100.00 ns, 301.1000 us/op
WorkloadJitting  1: 1 op, 277900.00 ns, 277.9000 us/op

OverheadJitting  2: 16 op, 239600.00 ns, 14.9750 us/op
WorkloadJitting  2: 16 op, 726800.00 ns, 45.4250 us/op

WorkloadPilot    1: 16 op, 496400.00 ns, 31.0250 us/op
WorkloadPilot    2: 32 op, 997100.00 ns, 31.1594 us/op
WorkloadPilot    3: 64 op, 1999700.00 ns, 31.2453 us/op
WorkloadPilot    4: 128 op, 4075100.00 ns, 31.8367 us/op
WorkloadPilot    5: 256 op, 8138600.00 ns, 31.7914 us/op
WorkloadPilot    6: 512 op, 16219600.00 ns, 31.6789 us/op
WorkloadPilot    7: 1024 op, 32344200.00 ns, 31.5861 us/op
WorkloadPilot    8: 2048 op, 64750300.00 ns, 31.6164 us/op
WorkloadPilot    9: 4096 op, 129146500.00 ns, 31.5299 us/op
WorkloadPilot   10: 8192 op, 259532000.00 ns, 31.6812 us/op
WorkloadPilot   11: 16384 op, 511265300.00 ns, 31.2052 us/op

OverheadWarmup   1: 16384 op, 36800.00 ns, 2.2461 ns/op
OverheadWarmup   2: 16384 op, 34200.00 ns, 2.0874 ns/op
OverheadWarmup   3: 16384 op, 34000.00 ns, 2.0752 ns/op
OverheadWarmup   4: 16384 op, 34100.00 ns, 2.0813 ns/op
OverheadWarmup   5: 16384 op, 34100.00 ns, 2.0813 ns/op
OverheadWarmup   6: 16384 op, 34100.00 ns, 2.0813 ns/op
OverheadWarmup   7: 16384 op, 34100.00 ns, 2.0813 ns/op

OverheadActual   1: 16384 op, 34100.00 ns, 2.0813 ns/op
OverheadActual   2: 16384 op, 34100.00 ns, 2.0813 ns/op
OverheadActual   3: 16384 op, 34200.00 ns, 2.0874 ns/op
OverheadActual   4: 16384 op, 35600.00 ns, 2.1729 ns/op
OverheadActual   5: 16384 op, 34100.00 ns, 2.0813 ns/op
OverheadActual   6: 16384 op, 34100.00 ns, 2.0813 ns/op
OverheadActual   7: 16384 op, 34100.00 ns, 2.0813 ns/op
OverheadActual   8: 16384 op, 37600.00 ns, 2.2949 ns/op
OverheadActual   9: 16384 op, 34100.00 ns, 2.0813 ns/op
OverheadActual  10: 16384 op, 34100.00 ns, 2.0813 ns/op
OverheadActual  11: 16384 op, 34200.00 ns, 2.0874 ns/op
OverheadActual  12: 16384 op, 34200.00 ns, 2.0874 ns/op
OverheadActual  13: 16384 op, 34200.00 ns, 2.0874 ns/op
OverheadActual  14: 16384 op, 34200.00 ns, 2.0874 ns/op
OverheadActual  15: 16384 op, 34100.00 ns, 2.0813 ns/op

WorkloadWarmup   1: 16384 op, 508458600.00 ns, 31.0339 us/op
WorkloadWarmup   2: 16384 op, 508464900.00 ns, 31.0342 us/op
WorkloadWarmup   3: 16384 op, 507759500.00 ns, 30.9912 us/op
WorkloadWarmup   4: 16384 op, 508167300.00 ns, 31.0161 us/op
WorkloadWarmup   5: 16384 op, 509402900.00 ns, 31.0915 us/op
