// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da
// command took 2.1s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da
// command took 2.82s and exited with 0
// ***** Done, took 00:00:05 (5.2 sec)   *****
// Found 5 benchmarks:
//   PopulateBenchmarks.LinqPopulate: DefaultJob
//   PopulateBenchmarks.ForLoopPopulate: DefaultJob
//   PopulateBenchmarks.ForEachPopulate: DefaultJob
//   PopulateBenchmarks.ParallelLinqPopulate: DefaultJob
//   PopulateBenchmarks.ParallelForEachLoop: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: PopulateBenchmarks.LinqPopulate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e180f6be-7f6b-4fdb-815c-b1eae89192da.dll" --benchmarkName "ListBenchmarks.PopulateBenchmarks.LinqPopulate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 392600.00 ns, 392.6000 us/op
WorkloadJitting  1: 1 op, 362400.00 ns, 362.4000 us/op

OverheadJitting  2: 16 op, 802800.00 ns, 50.1750 us/op
WorkloadJitting  2: 16 op, 768300.00 ns, 48.0187 us/op

WorkloadPilot    1: 16 op, 13100.00 ns, 818.7500 ns/op
WorkloadPilot    2: 32 op, 23900.00 ns, 746.8750 ns/op
WorkloadPilot    3: 64 op, 58900.00 ns, 920.3125 ns/op
WorkloadPilot    4: 128 op, 142900.00 ns, 1.1164 us/op
WorkloadPilot    5: 256 op, 323200.00 ns, 1.2625 us/op
WorkloadPilot    6: 512 op, 642300.00 ns, 1.2545 us/op
WorkloadPilot    7: 1024 op, 1251900.00 ns, 1.2226 us/op
WorkloadPilot    8: 2048 op, 2581600.00 ns, 1.2605 us/op
WorkloadPilot    9: 4096 op, 5200500.00 ns, 1.2697 us/op
WorkloadPilot   10: 8192 op, 10857800.00 ns, 1.3254 us/op
WorkloadPilot   11: 16384 op, 21074100.00 ns, 1.2863 us/op
WorkloadPilot   12: 32768 op, 43097300.00 ns, 1.3152 us/op
WorkloadPilot   13: 65536 op, 85383100.00 ns, 1.3028 us/op
WorkloadPilot   14: 131072 op, 161990500.00 ns, 1.2359 us/op
WorkloadPilot   15: 262144 op, 263646800.00 ns, 1.0057 us/op
WorkloadPilot   16: 524288 op, 541573800.00 ns, 1.0330 us/op

OverheadWarmup   1: 524288 op, 2096900.00 ns, 3.9995 ns/op
OverheadWarmup   2: 524288 op, 2094000.00 ns, 3.9940 ns/op
OverheadWarmup   3: 524288 op, 2094000.00 ns, 3.9940 ns/op
OverheadWarmup   4: 524288 op, 2100200.00 ns, 4.0058 ns/op
OverheadWarmup   5: 524288 op, 2116400.00 ns, 4.0367 ns/op
OverheadWarmup   6: 524288 op, 2095000.00 ns, 3.9959 ns/op
OverheadWarmup   7: 524288 op, 2094700.00 ns, 3.9953 ns/op
OverheadWarmup   8: 524288 op, 2094300.00 ns, 3.9946 ns/op
OverheadWarmup   9: 524288 op, 2094200.00 ns, 3.9944 ns/op
OverheadWarmup  10: 524288 op, 2098200.00 ns, 4.0020 ns/op

OverheadActual   1: 524288 op, 2101600.00 ns, 4.0085 ns/op
OverheadActual   2: 524288 op, 2093900.00 ns, 3.9938 ns/op
OverheadActual   3: 524288 op, 2093900.00 ns, 3.9938 ns/op
OverheadActual   4: 524288 op, 2150500.00 ns, 4.1018 ns/op
OverheadActual   5: 524288 op, 2094400.00 ns, 3.9948 ns/op
OverheadActual   6: 524288 op, 2093900.00 ns, 3.9938 ns/op
OverheadActual   7: 524288 op, 2099800.00 ns, 4.0051 ns/op
OverheadActual   8: 524288 op, 2097900.00 ns, 4.0014 ns/op
OverheadActual   9: 524288 op, 2093700.00 ns, 3.9934 ns/op
OverheadActual  10: 524288 op, 2094100.00 ns, 3.9942 ns/op
OverheadActual  11: 524288 op, 2142400.00 ns, 4.0863 ns/op
OverheadActual  12: 524288 op, 2108100.00 ns, 4.0209 ns/op
OverheadActual  13: 524288 op, 2162800.00 ns, 4.1252 ns/op
OverheadActual  14: 524288 op, 2119600.00 ns, 4.0428 ns/op
OverheadActual  15: 524288 op, 2094200.00 ns, 3.9944 ns/op

WorkloadWarmup   1: 524288 op, 393700400.00 ns, 750.9239 ns/op
WorkloadWarmup   2: 524288 op, 676567800.00 ns, 1.2905 us/op
WorkloadWarmup   3: 524288 op, 395779000.00 ns, 754.8885 ns/op
WorkloadWarmup   4: 524288 op, 389178900.00 ns, 742.2998 ns/op
WorkloadWarmup   5: 524288 op, 398693600.00 ns, 760.4477 ns/op
WorkloadWarmup   6: 524288 op, 976628200.00 ns, 1.8628 us/op
WorkloadWarmup   7: 524288 op, 405562200.00 ns, 773.5485 ns/op

// BeforeActualRun
WorkloadActual   1: 524288 op, 393225500.00 ns, 750.0181 ns/op
WorkloadActual   2: 524288 op, 395496400.00 ns, 754.3495 ns/op
WorkloadActual   3: 524288 op, 392125200.00 ns, 747.9195 ns/op
WorkloadActual   4: 524288 op, 394623800.00 ns, 752.6852 ns/op
WorkloadActual   5: 524288 op, 386806400.00 ns, 737.7747 ns/op
WorkloadActual   6: 524288 op, 393900800.00 ns, 751.3062 ns/op
WorkloadActual   7: 524288 op, 1602968000.00 ns, 3.0574 us/op
WorkloadActual   8: 524288 op, 397502000.00 ns, 758.1749 ns/op
WorkloadActual   9: 524288 op, 403111800.00 ns, 768.8747 ns/op
WorkloadActual  10: 524288 op, 392557300.00 ns, 748.7436 ns/op
WorkloadActual  11: 524288 op, 391810900.00 ns, 747.3200 ns/op
WorkloadActual  12: 524288 op, 396238600.00 ns, 755.7652 ns/op
WorkloadActual  13: 524288 op, 385969900.00 ns, 736.1792 ns/op
WorkloadActual  14: 524288 op, 392613900.00 ns, 748.8516 ns/op
WorkloadActual  15: 524288 op, 395915100.00 ns, 755.1481 ns/op

// AfterActualRun
WorkloadResult   1: 524288 op, 391127600.00 ns, 746.0167 ns/op
WorkloadResult   2: 524288 op, 393398500.00 ns, 750.3481 ns/op
WorkloadResult   3: 524288 op, 390027300.00 ns, 743.9180 ns/op
WorkloadResult   4: 524288 op, 392525900.00 ns, 748.6837 ns/op
WorkloadResult   5: 524288 op, 384708500.00 ns, 733.7732 ns/op
