// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\1c0ef377-c8d1-4576-b137-c92c2dff05a4
// command took 1.49s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\1c0ef377-c8d1-4576-b137-c92c2dff05a4
// command took 2.55s and exited with 0
// ***** Done, took 00:00:04 (4.25 sec)   *****
// Found 2 benchmarks:
//   PopulateBenchmarks.LinqPopulate: DefaultJob
//   PopulateBenchmarks.ParallelLinqPopulate: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: PopulateBenchmarks.LinqPopulate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1c0ef377-c8d1-4576-b137-c92c2dff05a4.dll" --benchmarkName "ListBenchmarks.PopulateBenchmarks.LinqPopulate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\1c0ef377-c8d1-4576-b137-c92c2dff05a4\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 291400.00 ns, 291.4000 us/op
WorkloadJitting  1: 1 op, 6169800.00 ns, 6.1698 ms/op

OverheadJitting  2: 16 op, 283000.00 ns, 17.6875 us/op
WorkloadJitting  2: 16 op, 71327400.00 ns, 4.4580 ms/op

WorkloadPilot    1: 16 op, 70608300.00 ns, 4.4130 ms/op
WorkloadPilot    2: 32 op, 136630100.00 ns, 4.2697 ms/op
WorkloadPilot    3: 64 op, 242746700.00 ns, 3.7929 ms/op
WorkloadPilot    4: 128 op, 484456500.00 ns, 3.7848 ms/op
WorkloadPilot    5: 256 op, 974465900.00 ns, 3.8065 ms/op

OverheadWarmup   1: 256 op, 3800.00 ns, 14.8438 ns/op
OverheadWarmup   2: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   3: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadWarmup   4: 256 op, 900.00 ns, 3.5156 ns/op
OverheadWarmup   5: 256 op, 900.00 ns, 3.5156 ns/op
OverheadWarmup   6: 256 op, 800.00 ns, 3.1250 ns/op

OverheadActual   1: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   2: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual   3: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   4: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual   5: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   6: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   7: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   8: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   9: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  10: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  11: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  12: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual  13: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  14: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  15: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  16: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  17: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  18: 256 op, 800.00 ns, 3.1250 ns/op

WorkloadWarmup   1: 256 op, 973806000.00 ns, 3.8039 ms/op
WorkloadWarmup   2: 256 op, 986261700.00 ns, 3.8526 ms/op
WorkloadWarmup   3: 256 op, 980731500.00 ns, 3.8310 ms/op
WorkloadWarmup   4: 256 op, 993140100.00 ns, 3.8795 ms/op
WorkloadWarmup   5: 256 op, 970001000.00 ns, 3.7891 ms/op
WorkloadWarmup   6: 256 op, 964483100.00 ns, 3.7675 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 1000025300.00 ns, 3.9063 ms/op
WorkloadActual   2: 256 op, 977863300.00 ns, 3.8198 ms/op
WorkloadActual   3: 256 op, 989383200.00 ns, 3.8648 ms/op
WorkloadActual   4: 256 op, 970569200.00 ns, 3.7913 ms/op
WorkloadActual   5: 256 op, 967424300.00 ns, 3.7790 ms/op
WorkloadActual   6: 256 op, 972932900.00 ns, 3.8005 ms/op
WorkloadActual   7: 256 op, 961917300.00 ns, 3.7575 ms/op
